district,iec_district_id,iec_prov_id,map_accuracy,pc_code,pc_location,pc_name,province,ps_female,ps_male,ps_total,verification,lon,lat,closed
"Wali Mohammad Shahid",02,11,"قریه",1102100,"Mado Khel Village","Toor Gul House","Ghazni",2,0,2,"Village",68.314056,33.545000,1
"Waghaz",04,11,"تعمیر",1104126,"Surkhak Village","Surkhak Village School","Ghazni",2,2,4,"Building",68.207534,33.442190,1
"Qara Bagh",11,11,"قریه",1111157,"Mir Wahez Village","Mir Wahez Mosque","Ghazni",2,0,2,"Village",68.125015,33.220246,1
"Giro",12,11,"تعمیر",1112202,"Ahad Village","Shaheed Mohammad Naim School","Ghazni",0,3,3,"Building",68.327866,33.068173,1
"Giro",12,11,"تعمیر",1112203,"Sulaiman Qala","Sulaiman Qala Mosque","Ghazni",2,0,2,"Building",68.327855,33.071889,1
"Giro",12,11,"قریه",1112206,"Shahal Village","Shahal Village School","Ghazni",1,2,3,"Village",68.440809,33.178877,1
"Giro",12,11,"قریه",1112207,"Melani Village","Melini Village Primary School","Ghazni",1,2,3,"Village",68.506579,33.200001,1
"Giro",12,11,"تعمیر",1112212,"Desi Village","Desi Village High School","Ghazni",1,3,4,"Building",68.427881,33.024357,1
"Giro",12,11,"قریه",1112213,"Khati Village","Khati Village School","Ghazni",0,3,3,"Village",68.488804,33.204666,1
"Gelan",17,11,"قریه",1117388,"Balaheer Village","Balaheer Village Mosque","Ghazni",1,2,3,"Village",67.622887,32.640138,1
"Ajristan",18,11,"تعمیر",1118287,"Osman Khel Village","Osman Khel Village Secondary School","Ghazni",2,5,7,"Building",67.200874,33.505408,1
"Ajristan",18,11,"تعمیر",1118288,"Abas Khel Village","Addin Khel Secondary School","Ghazni",2,3,5,"Building",67.226589,33.541923,1
"Ajristan",18,11,"تعمیر",1118292,"Peero Khel Village","Peero Khel Primary School","Ghazni",2,2,4,"Building",67.070993,33.417353,1
"Ajristan",18,11,"تعمیر",1118293,"Langar Khel Village","Langar Khel Secondary School","Ghazni",2,3,5,"Building",67.298439,33.594917,1
"Zanakhan",08,11,"قریه",1108074,"Doorkhan Khel","Doorkhan Khel Mosque","Ghazni",2,0,2,"Village",68.645267,33.672009,1
"Zanakhan",08,11,"قریه",1108076,"Kotal","Kotal Mosque","Ghazni",1,2,3,"Village",68.686423,33.687926,1
"Zanakhan",08,11,"قریه",1108079,"Azamwal Village","Azamwal Mosque","Ghazni",0,2,2,"Village",68.642478,33.655414,1
"Zanakhan",08,11,"قریه",1108080,"Azamwal Village","Azamwal Village Mosque","Ghazni",2,0,2,"Village",68.644032,33.654677,1
