PC_number,pc_name,province,district,PS_total_final,PS_planned,ps_diff,ps_male,ps_female,closed,unopened,excluded,Dr_Abdullah_Abdullah,Dr_Mohammad_Ashraf_Ghani_Ahmadzai,Zalmai_Rassoul,Prof_Abdo_Rabe_Rasool_Sayyaf,Eng_Qutbuddin_Hilal,Mohd_Shafiq_Gul_Agha_Sherzai,Mohammad_Daoud_Sultanzoy,Hedayat_Amin_Arsala,Quayum_Karzai,Mohammad_Nadir_Naeem,Abdul_Rahim_Wardak,vote_total,vote_per_ps,Lat,Long
1307061,Speri School,Paktya,Jaji Aryob,4,4,0,3,1,0,0,0,152,1835,42,138,172,5,4,0,12,2,0,2362,590,33.97511060000014,69.73831673000005
1307076,Gul Ghundi School,Paktya,Jaji Aryob,4,4,0,3,1,0,0,0,36,1196,4,1,1151,4,0,1,1,0,0,2394,598,33.99065173000001,69.85175567000005
1309177,Mowla Gul Mosque,Paktya,Jani Khel,3,3,0,3,0,0,0,0,720,288,400,310,75,0,0,7,0,0,0,1800,600,33.56488866000013,69.81992478600003
1309178,Chenari Madrassa,Paktya,Jani Khel,4,4,0,3,1,0,0,0,625,226,314,1230,4,0,0,0,0,1,0,2400,600,33.55834751000005,69.79177561000006
1311187,Saltak Maqbol Secondary School,Paktya,Dand Patan,3,3,0,3,0,0,0,0,1,880,205,273,320,1,0,0,6,3,0,1689,563,33.73367967000012,69.90866464000005
1312148,Laja Primary School,Paktya,Laja Mangal,2,2,0,2,0,0,0,0,4,591,12,578,7,1,0,0,1,2,0,1196,598,33.78467180000009,69.66695998000002
1312149,Patka Mosque,Paktya,Laja Mangal,2,2,0,0,2,0,0,0,1,735,1,460,1,0,0,0,0,1,0,1199,599,33.78512347000011,69.6668988100001
1312150,Khairani School,Paktya,Laja Mangal,2,2,0,2,0,0,0,0,38,846,212,5,3,0,2,0,5,0,1,1112,556,33.76242586000004,69.64725224000004
1308220,Makh Ki Mosque,Paktya,Ahmadaba,3,3,0,2,1,0,0,0,100,632,13,373,625,1,1,0,0,0,0,1745,581,33.81724692300006,69.56152202200009
1311221,Femal Secondary School,Paktya,Dand Patan,3,3,0,2,1,0,0,0,83,1253,82,117,248,1,1,0,2,0,0,1787,595,33.82275394400008,69.92423293600007
