lon,lat,ps_male,pc_name,pc_code,province,ps_total,ps_female,pc_location,iec_prov_id,map_accuracy,iec_district_id
71.53062068000006,35.270690070000036,3,مرکز پولیس,1515108,کنړ,4,1,خانانوکڅ,15,Village,15
70.22768708000005,37.085516630000015,2,مکتب قدم,1702047,بدخشان,3,1,قدم,17,Building,2
70.88040212000003,36.98296825000004,1,مکتب چبچی یردار,1706104,بدخشان,2,1,چبچی یردار,17,Building,6
70.67620578,37.418177610000015,1,لیسه مراغ,1708122,بدخشان,2,1,میدان پایان,17,Building,8
70.10085181000004,36.81804877000007,4,مکتب نسوان مشهد,1715150,بدخشان,6,2,حوز شهر,17,Building,15
71.14496753000002,36.635295290000016,1,لیسه کزده,1716099,بدخشان,2,1,کزده,17,Building,16
71.49853000000004,37.57843000000001,3,لیسه سر چشمه,1719214,بدخشان,4,1,سر چشمه,17,Building,19
73.26487435000004,37.00014319000005,1,مکتب متوسطه نیشت خور,1728210,بدخشان,2,1,نیشت خور,17,Building,28
69.45864119000002,36.75082186,3,لیسه سید ناصر,1801020,تخار,4,1,ابدال,18,Building,1
69.72206533000005,36.52663091000004,3,مکتب ابتدائیه باغ قاضی,1806081,تخار,5,2,باغ قاضی,18,Building,6
69.47700000000002,37.08961000000003,2,لیسه سریغ,1812173,تخار,3,1,سریغ,18,Building,12
68.92083377000003,36.68202651000005,3,مکتب متوسطه بولک اول,1901036,کندز,4,1,بولک اول,19,Building,1
69.03992191000002,36.576339790000056,1,مکتب موسی زی,1904149,کندز,2,1,قریه شوراب,19,Building,4
67.94616613600002,36.48070873299999,2,مکتب متوسطه قوش بره,2002021,سمنگان,3,1,قریه قوش بره,20,Building,2
67.26799204000007,35.95861099000003,4,لیسه ذکور دهی,2006050,سمنگان,6,2,مرکز ولسوالی,20,Building,6
67.28558157,35.805779750000035,2,مکتب نسوان زیره کی,2007035,سمنگان,3,1,قریه زیره کی,20,Building,7
67.08891609000004,36.71240890000006,3,لیسه گوهر شاد بیگم,2101006,بلخ,6,3,ناحیه دوم مزار شاروالی,21,Building,1
67.12680759000004,36.70951129000006,2,لیسه زراعت,2101026,بلخ,4,2,گذر قصابها ناحیه ششم مزار شاروالی,21,Building,1
66.85632417000002,36.752193860000006,2,مکتب چار باغ گلشن,2106166,بلخ,3,1,قریه شنکی,21,Building,6
67.70464960000002,36.71893284000002,1,مکتب ناهید شهید,2110082,بلخ,3,2,تیبه شیخی افغانیه ( لغمانی ),21,Building,10
66.67716121000005,35.947148700000035,2,مکتب نسوان ایلاقیه,2115305,بلخ,4,2,قریه بلند اریغ,21,Building,15
65.94055242000005,35.91348145000005,4,لیسه جرغان,2203061,سرپل,6,2,جرغان,22,Building,3
66.28953992000001,35.77705931000001,1,مدرسه قریه دهمرده,2205102,سرپل,2,1,قریه دهمرده,22,Building,5
64.96471488000002,34.556165740000004,4,کلینیک بره خانه,2301016,غور,6,2,بره خانه,23,Building,1
64.77924563000003,34.18169312000001,1,خیمه در بازار دولینه,2302238,غور,2,1,بازار دولینه.,23,Village,2
65.26444048000006,31.458441680000085,4,د شيرعلي منطقه,2704192,کندهار,7,3,موشان,27,Village,4
64.05237458000003,30.634607930000058,2,د حاجی علی احمد کور,3006120,هلمند,3,1,بنادر,30,Village,6
61.733519250000015,34.34640806000003,2,مسجد قلعه نو,3205273,هرات,3,1,قلعه نو سرمزار,32,Village,5
69.18836426000004,34.50472507000005,1,مسجد سر گردنه,0101012,کابل,2,1,سر گردنه,1,Building,1
69.14191589000005,34.550474650000055,3,ليسه نسوان تاجور سلطانه,0101050,کابل,9,6,چهار راهي تايمني,1,Building,1
69.09420320000001,34.52472385000002,4,ليسه ناهيد شهيد,0101089,کابل,8,4,قسمت ب خوشحال مينه,1,Building,1
69.12801439000002,34.46065834000005,4,ليسه نسوان سر آسياب,0101108,کابل,10,6,سر آسياب,1,Building,1
69.16026531000004,34.473086840000065,3,ليسه نسوان غازي ادي,0101129,کابل,9,6,تني کوت,1,Building,1
69.21367488000003,34.49116060000005,3,ليسه عبدالحي حبيبي,0101146,کابل,7,4,قلعچه,1,Building,1
69.20279402000004,34.539891180000026,3,لیسه حاجی عبدالقدیر,0101181,کابل,7,4,مکروريان سوم,1,Building,1
69.18202951000005,34.55020827000001,3,مسجد مصطفوي,0101197,کابل,5,2,چهار قلعه,1,Building,1
69.18978298000006,34.54684968000004,1,مسجد جعفري,0101217,کابل,2,1,قلعه خاطر,1,Building,1
69.14265277000003,34.564786110000036,3,لیسه نسوان سیدالناصری,0101236,کابل,7,4,حصه دوم خير خانه,1,Building,1
69.33204505000002,34.52987198200002,3,لیسه قیام الدین خادم,0101252,کابل,7,4,احمد شاه بابا مينه,1,Building,1
69.21478194000005,34.58018374000003,3,ليسه عبدالاحمد جاوید,0101306,کابل,7,4,قصبه خانه سازي,1,Building,1
68.94885838000003,34.48934239000005,4,مکتب حسن البصري,0102400,کابل,6,2,ارغنده بالا,1,Village,2
69.12147378000002,34.40566585000004,3,مکتب ابتدائیه قلعه لقمان,0103421,کابل,5,2,قلعه لقمان,1,Building,3
