"lon","lat","ps_male","pc_name","pc_code","province","ps_total","district","ps_female","pc_location","iec_prov_id","map_accuracy","iec_district_id"
64.8916015,33.78764238,2,"Takhta Tarma Bazar Tent",2305113,"Ghor",3,"Pasaband",1,"Takhta Tarma Village",23,"Building",5
63.71988353,33.97186444,3,"Tolak School",2309178,"Ghor",4,"Tulak",1,"Khwajaha Village",23,"Building",9
63.79730451,33.94593145,2,"Sang Khalq Primary School",2309193,"Ghor",3,"Tulak",1,"Sang Khalq",23,"Building",9
64.47085691,32.404516,6,"Asad Suri High School",3007196,"Helmand",7,"Nawzad",1,"Nawzad Kalan",30,"Village",7
64.6983095,32.23240214,3,"Noor Mohammad Private House",3009184,"Helmand",5,"Musa Qala",2,"Sher Ghazai",30,"Village",9
64.74522454,32.26020614,3,"Khan Mohammad Mosque",3009185,"Helmand",5,"Musa Qala",2,"Kaani Manda",30,"Village",9
63.31073532,35.61373847,2,"Akazi School",3105153,"Badghis",3,"Bala Murghab",1,"Akaziha",31,"Building",5
63.37038205,35.52160345,2,"Joy-E- Kar School",3105158,"Badghis",3,"Bala Murghab",1,"Joy-E-Kar",31,"Building",5
63.32484536,35.61215435,2,"Sarkhlang Joy-E-Ganj Mosque",3105188,"Badghis",3,"Bala Murghab",1,"Sarkhlang Joy-E-Ganj",31,"Village",5
61.90357121,32.90659178,1,"Kariz Sadiq Mosque",3303055,"Farah",2,"Khak-E-Safed",1,"Kariz Sadiq",33,"Village",3
61.29710971,32.29932536,2,"Hassan Abad Ulya Mosque",3304072,"Farah",3,"Qala-E-Kah",1,"Hassan Abad Ulya",33,"Building",4
62.57846224,32.76432537,1,"Todanak Village Tent (Kuchi)",3306149,"Farah",2,"Bala Buluk",1,"Todanak Village",33,"Village",6
63.23385868,32.55547772,1,"Mughol Abad Mosque",3310177,"Farah",2,"Gulistan",1,"Mughol Abad",33,"Village",10
69.59841878,34.95213325,1,"Qazi Abdul Jamil  School",205039,"Kapisa",4,"Nijrab",3,"Afghania",2,"Building",5
69.64536943,34.85358832,4,"Ghazi Usman High School",206078,"Kapisa",4,"Tagab",0,"District Compound",2,"Building",6
69.3929361,34.85720486,2,"Mula Ahmad Khel School",308143,"Parwan",3,"Kohi Safi",1,"Mula Ahmad Khel",3,"Building",8
69.46397381,34.79483419,1,"Dandar School",308144,"Parwan",2,"Kohi Safi",1,"Dandar",3,"Building",8
70.11452913,34.77972019,2,"Kotwal Khando Village Mosque",703093,"Laghman",3,"Alishing",1,"Alishang",7,"Village",3
70.76200808,34.61408006,1,"Bar Noor Gul Boys High School",1514083,"Kunar",4,"Noor Gal",3,"Bar Noor Gul",15,"Building",14
70.63250517,36.98623977,2,"Gazan Mosque",1702054,"Badakhshan",3,"Argo",1,"Gazan",17,"Building",2
70.65470123,37.05528508,2,"Bagh Mubarak School",1702055,"Badakhshan",3,"Argo",1,"Bagh Mubarak",17,"Building",2
64.22200661,33.59241815,1,"Seb Talkh School",2308232,"Ghor",2,"Taywara",1,"Seb Talkh",23,"Village",8
67.121170598,33.90772129,2,"Mosque",2407191,"Daykundi",3,"Miramor",1,"Shazan",24,"Building",7
67.245977242,33.832265672,2,"Mosque",2407192,"Daykundi",3,"Miramor",1,"Ghajorak",24,"Building",7
66.666722599,33.539880313,2,"Mosque",2402172,"Daykundi",3,"Shahristan",1,"Rakhan",24,"Building",2
68.498323224,35.751902467,2,"Nawamad Mosque",902260,"Baghlan",3,"Dahana-E-Ghuri",1,"Naw Amad Qara Khwal Shakar To",9,"Building",2
68.730003688,35.59830178,2,"Abo Hanifa Madrasa",903261,"Baghlan",3,"Doshi",1,"Khwaja Zaid Sufla",9,"Building",3
69.248404801,34.466101132,2,"Qala Hasan Khan Mosque",104539,"Kabul",3,"Bagrami",1,"Qalai Hasan Khan Sufla",1,"Building",4
69.31229847,34.492235239,2,"Mehtarlam Baba Mosque",104540,"Kabul",3,"Bagrami",1,"Hasan Khil Village_Said Jamaludin Second Part",1,"Building",4
70.377063666,34.906862353,2,"School",704131,"Laghman",3,"Alingar",1,"Lokar",7,"Building",4
70.297346097,34.75865579,2,"Mosque",704132,"Laghman",3,"Alingar",1,"Chinchar Pol",7,"Building",4
68.735631698,36.290958017,2,"Mulah Khal Muhammad Mosque",905275,"Baghlan",3,"Baglan-E-Jadeed",1,"Larkhwabi",9,"Building",5
69.864384958,33.316118869,2,"Mosque",1402177,"Khost",3,"Manduzay",1,"Dikano Village",14,"Building",2
71.175247317,37.057933355,2,"Wakil Abdul Jabar School",1712305,"Badakhshan",3,"Shuhada",1,"Dargab",17,"Building",12
66.236171748,36.043066468,2,"Mosque",2204141,"Sar-E-Pul",3,"Sozma Qala",1,"Safar Qeshlaq",22,"Building",4
66.374167956,31.83222133,2,"Haji Abdul Aziz Pump Station",2602052,"Zabul",3,"Tarank Wa Jaldak",1,"Daro",26,"Village",2
65.260903405,35.723481607,2,"Qala Tardi Female Primary School",2908212,"Faryab",3,"Gurziwan",1,"Qala Tori",29,"Building",8
69.242327555,34.50909961,2,"Hzor Hazrat Nabi Mosque",101520,"Kabul",3,"Nahia_08",1,"Behaind Of Cokakola Industary",1,"Building",1
69.169276122,34.577129423,2,"Muhammad Hanifa Ghazi Mosque",101528,"Kabul",3,"Nahia_15",1,"District-15",1,"Building",1
69.285446149,35.142909838,2,"Abdul Hadi Shaheed Secondary School",305154,"Parwan",3,"Jabulussaraj",1,"Ezatullah Khil_ Gul Bahar",3,"Building",5
70.564862527,34.414383097,2,"Clinic",605512,"Nangarhar",3,"Kama",1,"Koza Deh Ghazi",6,"Building",5
70.628792683,34.441254681,2,"Molawi Ebarahim Kamawi School",605513,"Nangarhar",3,"Kama",1,"Dar Gul Sufla",6,"Building",5
69.880302232,35.640124196,2,"Chawni School",807108,"Panjshir",3,"Paryan",1,"Chaoni",8,"Village",7
69.424468827,35.30317036,2,"Chamal Warda Mosque",802099,"Panjshir",3,"Rukha",1,"Chamal Warda",8,"Village",2
69.003424525,36.089925676,2,"Khwaja Gul Khar School",904265,"Baghlan",3,"Nahreen",1,"Khwaja Gul Khor",9,"District",4
66.461486995,34.932332993,2,"Kaligan Femal High School",1005178,"Bamyan",3,"Yakawlang",1,"Kaligan",10,"Building",5
62.363835,34.27125241,0,"Sar Asiab Scondary School",3202062,"Herat",3,"Enjil",3,"Sar Asiab Village",32,"Building",2
69.25501896,36.71706323,5,"Dahana Bangi School",1804059,"Takhar",7,"Bangi",2,"Saqaba",18,"Building",4
69.36576055,36.52873468,3,"Mawlawi Ezzatullah Shaheed High School",1804060,"Takhar",5,"Bangi",2,"Mirza Bacha",18,"Building",4
69.72089006,36.9165261,2,"Koktaba High School",1810119,"Takhar",3,"Rustaq",1,"Dasht Mirzayee",18,"Building",10
69.80510956,37.16897375,2,"Ganda Secondary School",1810120,"Takhar",4,"Rustaq",2,"Ganda",18,"Building",10
67.82924916,36.52187461,2,"Dawlat Abad Secondary School",2002022,"Samangan",3,"Hazrat-E-Sultan",1,"Dawlat Abad Village",20,"Building",2
67.89622142,36.45507944,3,"District Office",2002023,"Samangan",4,"Hazrat-E-Sultan",1,"District Compound",20,"Building",2
61.47871013,34.3447002,1,"Sar Asia Mosque",3211456,"Herat",3,"Ghoryan",2,"Markaz-E-Sar Asia",32,"Building",11
63.17585974,34.36984989,4,"Markaz-E-Oba High School",3212365,"Herat",6,"Obe",2,"Markaz-E-Oba Char Mahal",32,"Village",12
67.067175607,34.13035484,2,"Dara Ghol Sia Mosque",1007186,"Bamyan",3,"Waras",1,"Dara Ghol Sia",10,"Building",7
70.107234913,37.008310634,2,"Qala Zafar Mosque",1702287,"Badakhshan",3,"Argo",1,"Now Abad Qala Zafar",17,"Building",2
70.0865715,33.584588859,2,"Sari Pili School",1413185,"Khost",3,"Jaji Maidan",1,"Sara Pila",14,"Building",13
70.339929196,36.96926175,2,"Chapa Village Mosque",1707295,"Badakhshan",3,"Darayim",1,"Chapa",17,"Building",7
70.12431706,37.046219474,2,"Mosque",1810209,"Takhar",3,"Rustaq",1,"Dasht Amani",18,"Building",10
70.948278249,36.566111801,2,"Ogh Female Secondary School",1718313,"Badakhshan",3,"Yamgan",1,"Awrugh",17,"Building",18
68.579586645,36.96337173,2,"Secondary School",1907219,"Kunduz",3,"Qala-E-Zal",1,"Shor Aruq",19,"Building",7
65.716202445,33.939944208,2,"Mosque",2405182,"Daykundi",3,"Khedir",1,"Dahan Abdara",24,"Village",5
63.874135958,34.8362794,2,"Kaftar Khan Mosque",3106198,"Badghis",3,"Jawand",1,"Kaftar Khan",31,"Building",6
64.837401346,32.071870008,3,"New School",3008226,"Helmand",4,"Sangin Qala",1,"Nawi Maktab",30,"Building",8
62.161099311,34.364726459,2,"Sayed Qanad Secondary School",3201474,"Herat",4,"District_12",2,"Said Qunad Secondary School",32,"Building",1
62.18022871,34.373389482,2,"Mawlana Jame",3201475,"Herat",4,"Herat",2,"9Th District",32,"Building",1
69.26238547,34.60836995,2,"Haji Ahmad Shah Mosque",105474,"Kabul",4,"Dehsabz",2,"Qala-E-Zarin",1,"Building",5
69.03443985,34.68545039,4,"Dara-E-Shakar Dara High School",106394,"Kabul",7,"Shakar Dara",3,"Qala-E-Wazir",1,"Building",6
69.07541514,34.66741061,3,"Qala-E-Murad Big High School",106395,"Kabul",6,"Shakar Dara",3,"Qala-E-Murad Big",1,"Building",6
69.18468964,34.86588865,2,"Abdul Rahman Ba Ba Secondary School",114366,"Kabul",4,"Qara Bagh",2,"Denar Khel",1,"Building",14
69.15720909,34.84395674,3,"Abdul Wakil Shaheed High School",114367,"Kabul",5,"Qara Bagh",2,"District Capital",1,"Building",14
69.71990075,34.56868747,2,"Yar Del Orya Khel Mosque",115479,"Kabul",3,"Surubi",1,"Loy Kalai",1,"Building",15
69.57981103,34.36484157,2,"Tezen-E-Khas Primary School",115480,"Kabul",3,"Surubi",1,"Loy Kalai",1,"Building",15
69.59578261,34.57776629,1,"Guga Manda School",115517,"Kabul",2,"Surubi",1,"Guga Manda",1,"Building",15
69.83624382,34.66239124,1,"Sperkundi School",115518,"Kabul",2,"Surubi",1,"Sper Kundi",1,"Building",15
70.40295759,34.43259103,0,"Bakhtaan Clinic",603084,"Nangarhar",2,"Surkh Rud",2,"Du Saraka",6,"Village",3
70.22309465,34.35657341,3,"Fateh Abad Clinic",603085,"Nangarhar",3,"Surkh Rud",0,"Fateh Abad",6,"Building",3
66.92585335,34.08106757,1,"Takhta Ha Mosque",1007150,"Bamyan",2,"Waras",1,"Takhta Ha",10,"Building",7
66.97161039,34.03167321,1,"Waaz Darghan Mosque",1007151,"Bamyan",2,"Waras",1,"Waaz Darghan",10,"Building",7
66.96819418,34.11790565,2,"Toop-E-Ismael Mosque",1007159,"Bamyan",3,"Waras",1,"Nas Patan",10,"Building",7
69.07377057,32.9709349,2,"Big Mosque",1205081,"Paktika",2,"Sar Rawza",0,"Shah Tori",12,"Village",5
69.07476653,32.97138823,0,"Mohammad Hayat Guest House",1205082,"Paktika",2,"Sar Rawza",2,"Shah Tori",12,"Village",5
70.802447,34.35120751,2,"Dor Khel Maidan",614495,"Nangarhar",2,"Goshta",0,"Dor Khel",6,"Village",14
70.694153828,34.096795171,3,"Koshtal Mainz Village Mosque",615355,"Nangarhar",3,"Achin",0,"Koshtal",6,"Village",15
70.758938,34.11713102,3,"Perokhelo Tapa Mosque",615362,"Nangarhar",4,"Achin",1,"Zordeh Road",6,"Village",15
70.73537675,34.13147321,1,"Deh Sarak Kuhna High School",615363,"Nangarhar",2,"Achin",1,"Shekh Mal Khel",6,"Village",15
70.89086265,34.22176719,3,"Amaan Village Speen Mosque",617462,"Nangarhar",4,"Muhmand Dara",1,"Damaan Village",6,"Village",17
69.13194054,34.499387,3,"Resalat Madrassa",101123,"Kabul",6,"Kabul-D06",3,"Qala-E-Wazir",1,"Building",1
69.12361663,34.49259015,4,"Safid Mosque",101124,"Kabul",7,"Kabul-D06",3,"Qala-E-Wazir",1,"Building",1
69.15713866,34.49059366,3,"Sultan Razia Girls High School",101130,"Kabul",10,"Kabul-D07",7,"Bagh-E-Raees",1,"Building",1
69.13631605,34.43177569,3,"Family Haie Reshkhur High School",101131,"Kabul",6,"Kabul-D07",3,"Family Haie Reshkhur",1,"Building",1
69.23200021,34.51012161,3,"Sayed Noor Mohammad Shah Mohammadia Mosque",101157,"Kabul",4,"Kabul-D08",1,"Kart-E-Naw",1,"Building",1
69.23463786,34.50590043,3,"Ahmadi Mosque",101158,"Kabul",5,"Kabul-D08",2,"Kart-E-Naw",1,"Building",1
69.20139129,34.53786616,3,"Alfath High School",101182,"Kabul",6,"Kabul-D09",3,"3Rd Makrorian",1,"Building",1
69.20102822,34.54156532,3,"Abul Qasim Ferdawsi High School",101183,"Kabul",5,"Kabul-D09",2,"3Rd Makrorian",1,"Building",1
69.17536697,34.56037592,2,"Mohammadia Mosque",101198,"Kabul",4,"Kabul-D10",2,"Chahar Qala",1,"Building",1
69.16987809,34.56087391,2,"Bibi Ruqia Mosque",101199,"Kabul",4,"Kabul-D10",2,"Chahar Qala",1,"Building",1
69.17151227,34.54594068,2,"Fatimia Mosque",101213,"Kabul",4,"Kabul-D10",2,"Qala-E-Fathullah",1,"Building",1
69.16593309,34.54569498,1,"Sarak-E-Chahar Mosque",101214,"Kabul",2,"Kabul-D10",1,"Qala-E-Fathullah",1,"Building",1
69.19785094,34.54416071,2,"Haji Qasim Mosque",101218,"Kabul",3,"Kabul-D10",1,"Sarak-E-Bi Bi Mahro",1,"Building",1
69.20001902,34.54655347,2,"Bibi Mahru Girls High School",101219,"Kabul",6,"Kabul-D10",4,"Airport Road",1,"Building",1
69.00664213,32.18463805,3,"Mawlavi Serajuddin Madressa",1208126,"Paktika",4,"Gomal",1,"Payandi Village",12,"Building",8
68.85172837,32.44728365,3,"Shekin Bazaar Mosque",1208127,"Paktika",3,"Gomal",0,"Shekin",12,"Village",8
69.67766876,33.885779689,1,"Moti School",1308207,"Paktya",2,"Laja Ahmad Khel",1,"Moti Village, Sakander Khel",13,"Village",8
69.7848217,33.66666217,3,"Kotkai Mosque",1309170,"Paktya",3,"Jani Khel",0,"Kotkai, Setar Kalai",13,"Village",9
69.9427947,33.32614995,4,"Omer Village Dermand",1401003,"Khost",5,"Khost",1,"Omar Village",14,"Village",1
69.94409176,33.3276505,2,"Mohammad Vally Shah Hojra",1401004,"Khost",4,"Khost",2,"Shamal Omar Village",14,"Village",1
68.849979684,36.632766822,2,"Salarzai Mosque",1902115,"Kunduz",3,"Char Dara",1,"Naqil Salarzai",19,"Building",2
68.89822911,37.19456548,3,"Nomania Secondary School",1905093,"Kunduz",4,"Hazrat-E-Imam Sahib",1,"Imam Sahib City",19,"Building",5
68.90591411,37.15549619,3,"Ortablaqi School",1905094,"Kunduz",4,"Hazrat-E-Imam Sahib",1,"Ota Blaqiha Village",19,"Building",5
67.76274366,35.50397325,3,"Aabkhorak Madrassa",2005072,"Samangan",4,"Roi-Do-Ab",1,"Aabkhorak Village",20,"Building",5
67.81933833,35.56491998,2,"Do Aab Madrassa",2005073,"Samangan",3,"Roi-Do-Ab",1,"District Compound",20,"Building",5
66.08406227,37.00583957,3,"Chaar Changhoo High School",2804069,"Jawzjan",5,"Mingajik",2,"Chaar Changhoo",28,"Building",4
66.13708515,37.01402769,2,"Mangjeek School",2804070,"Jawzjan",4,"Mingajik",2,"Mangjeek",28,"Building",4
65.71695304,37.53171547,2,"Qarnas School",2806086,"Jawzjan",3,"Khamyab",1,"Qarnas",28,"Building",6
65.80223849,37.49518735,1,"Chopli Tapa",2806087,"Jawzjan",2,"Khamyab",1,"Chopli",28,"Building",6
64.88473039,36.41997614,3,"Qozi Bay Qala Girls High School",2909158,"Faryab",5,"Dawlat Abad",2,"Bay Qala Qozi",29,"Building",9
64.90297028,36.36500584,2,"Jar Qala School",2909159,"Faryab",4,"Dawlat Abad",2,"Kokcha Qala",29,"Building",9
62.39698059,34.27960544,2,"Shohada Secondary School",3202078,"Herat",2,"Enjil",0,"Sar Hasan Khwaja Village",32,"Building",2
62.62732016,34.22481174,3,"Shah Abad School",3206128,"Herat",5,"Pashtun Zarghun",2,"Shad Abad Village",32,"Building",6
62.59203992,34.2180142,2,"Gul Meer High School",3206129,"Herat",3,"Pashtun Zarghun",1,"Gul Meer Village",32,"Village",6
61.858275,30.946666,2,"Zaranj Hostel",3401007,"Nimroz",3,"Zaranj",1,"Zaranj",34,"Village",1
69.112452,34.524206,4,"Hazrat Shamsul Mashayakh High School",101086,"Kabul",8,"Kabul-D05",4,"Phase A Of Khush-Hal Mina",1,"Village",1
69.1707,34.5335,4,"Parsa Primary School",101022,"Kabul",8,"Kabul-D02",4,"Joy Sher",1,"Village",1
69.12468,34.544457,3,"Dehkepak Girls High School",101060,"Kabul",8,"Kabul-D04",5,"Naw Abad Dehkepak",1,"Building",1
63.82927902,33.82865917,2,"Khameen Secondary School",2309189,"Ghor",3,"Tulak",1,"Rabat",23,"Village",9
63.85116644,34.14520214,2,"Arbab Malek Private House",2309190,"Ghor",4,"Tulak",2,"Gaw Gosh",23,"Village",9
70.6901128,34.13027579,2,"Medanak Sadeq Hujra",615375,"Nangarhar",3,"Achin",1,"Medanak",6,"Building",15
70.79602604,34.0716142,2,"Tarkhai Primary School",620402,"Nangarhar",3,"Nazyan",1,"Morchal Village",6,"Village",20
68.76837563,33.13743336,3,"Merza Qala Mosque",1201017,"Paktika",3,"Sharan",0,"Merza Qala",12,"Village",1
68.76859979,33.13720056,0,"Asghar Guest House",1201018,"Paktika",3,"Sharan",3,"Merza Qala",12,"Village",1
62.37629026,34.06038433,1,"Kochis Location",3203117,"Herat",2,"Guzara",1,"Gumbadi Village",32,"Village",3
68.66176371,34.13266218,2,"Saleh Mohammad House",404083,"Wardak",4,"Chaki Wardak",2,"Noor Khel",4,"Village",4
69.34195848,32.79120847,0,"Makhfirollah Guest House",1214264,"Paktika",2,"Barmal",2,"Serdag",12,"District",14
65.16030108,32.05788655,1,"Juma Khan Private House",2709131,"Kandahar",2,"Ghorak",1,"Ishaaqzo Village",27,"District",9
63.70694444,34.67777777,1,"Gunbad Mosque",3104075,"Badghis",2,"Qadis",1,"Gunbad Village",31,"Building",4
66.928750303,34.274728609,2,"Mosque",1007188,"Bamyan",3,"Waras",1,"Qala Sia",10,"Village",7
68.14171882,33.247075315,2,"Qari Abdullah School",1111406,"Ghazni",3,"Qara Bagh",1,"Ashlian",11,"Building",11
69.178974,34.507042,1,"Khwaja Safa Mosque",101014,"Kabul",2,"Kabul-D01",1,"Balajoie Ashuqan-O-Arifan",1,"Village",1
69.18972,34.52555,3,"Ansori Balkhi School",101016,"Kabul",5,"Kabul-D01",2,"Bagh-E-Ali Mardan",1,"Village",1
69.13353,34.4696,2,"Deh Dana Girls High School",101141,"Kabul",6,"Kabul-D07",4,"Deh Dana",1,"Village",1
69.224282,34.506806,3,"Mohammad Hashim Maiwandwal High School",101153,"Kabul",5,"Kabul-D08",2,"Sarak-E-3 Rahman Mina",1,"Building",1
69.2342,34.5,3,"Usman Ghani Mosque",101160,"Kabul",5,"Kabul-D08",2,"Kart-E-Naw",1,"Building",1
69.225044,34.509681,3,"Shah Pacha Mosque",101162,"Kabul",5,"Kabul-D08",2,"First Road Of Rahman Mina, Behind Of Asphalt Factory",1,"Village",1
69.149183,34.591459,2,"500 Family Mosque",101248,"Kabul",3,"Kabul-D11",1,"Sarak-E-500 Family",1,"Village",1
69.129,34.4891,2,"Emam Jafar Mosque",101496,"Kabul",3,"Kabul-D11",1,"Imam-E-Jafar Mosque, Tapa-E-Sadat",1,"Building",1
69.159334,34.582873,3,"Parwareshgah Fresht-E-Nejat",101291,"Kabul",7,"Kabul-D15",4,"Khwaja Bughra Squre",1,"Village",1
69.16,34.5853,2,"Hazrat-E-Yousuf Mosque",101308,"Kabul",4,"Kabul-D15",2,"Sari Pule Khaja Bughra",1,"Building",1
65.709543,31.592479,3,"Haji Arab School",2717015,"Kandahar",6,"Dand",3,"D02 - Nahia 2",27,"Village",17
65.696402,31.591113,4,"Salo Khan Chaman Mosque",2717052,"Kandahar",7,"Dand",3,"Alkozo Koch Khana",27,"Building",17
69.13585256,34.5765601,4,"Abdul Ghafor Nadim High School",101237,"Kabul",7,"Kabul-D11",3,"Khair Khana Kindergarten",1,"Building",1
69.14429722,34.56518055,2,"Hazrat Yousuf Mosque",101238,"Kabul",6,"Kabul-D11",4,"Lab Jar",1,"Building",1
69.06990089,34.50474088,1,"Imam Mohammad Taqi Mosque",101257,"Kabul",3,"Kabul-D13",2,"Bagh-E-Khan",1,"Building",1
69.07752777,34.49613888,6,"Abdur Rahim Shaheed High School",101258,"Kabul",12,"Kabul-D13",6,"Dasht-E-Best Hazari",1,"Building",1
69.06700537,34.48731744,1,"Musa Ibne Jafar Mosque",101262,"Kabul",3,"Kabul-D13",2,"Naw Abad Dogh Abad",1,"Building",1
69.05467935,34.49991778,5,"Marefat High School",101263,"Kabul",9,"Kabul-D13",4,"Guzar-E-Gulistan",1,"Building",1
71.04422899,34.20087095,4,"Sulh Azadi Commerce High School",617463,"Nangarhar",4,"Muhmand Dara",0,"Loy Daka",6,"Building",17
69.160067815,34.572254345,2,"Prozha Khurasan Mosque",101529,"Kabul",3,"Nahia_15",1,"District-15",1,"Building",1
69.1636212,34.581793968,2,"Khoja Bughra Mosque",101530,"Kabul",3,"Nahia_15",1,"Pawar Station Street",1,"Building",1
69.068285149,34.606757086,3,"Sedeq Akbar High School",101531,"Kabul",5,"Nahia_17",2,"Nejat Town",1,"Building",1
69.390961368,34.56682518,2,"Haji Abdullah Khan Mosque",105533,"Kabul",3,"Dehsabz",1,"Torkham Transportation Station",1,"Building",5
69.372638397,34.603846217,2,"Qais Wa Lang Mosque",105541,"Kabul",3,"Dehsabz",1,"Jeeran",1,"Village",5
69.1692788,34.617692925,2,"Shahrak Alghawi Mosque",106542,"Kabul",3,"Shakar Dara",1,"Alghawi Town",1,"Building",6
70.622426047,34.403086896,2,"School",605511,"Nangarhar",3,"Kama",1,"Deh Taher",6,"Building",5
70.663916925,34.387488467,2,"Primary School",602509,"Nangarhar",3,"Behsud",1,"Gardiks",6,"Village",2
70.323374439,34.424059719,2,"Saido Khil School",603510,"Nangarhar",3,"Surkh Rud",1,"Saido Khil",6,"Building",3
70.65022811,34.431119083,2,"Mosque",605514,"Nangarhar",3,"Kama",1,"Bazid Khil",6,"Building",5
70.530009643,34.563740734,2,"Gambiri School",606515,"Nangarhar",3,"Kuz Kunar",1,"Gambiri",6,"Building",6
70.189873303,34.347362086,2,"High School",608516,"Nangarhar",3,"Khugyani",1,"Chemtala",6,"Building",8
69.546815897,35.30975224,2,"Koh Manjahoor Secondary School",801097,"Panjshir",3,"Bazarak",1,"Dashtak",8,"Building",1
69.47956859,35.277739142,2,"Marshal Faheem Mosque",801098,"Panjshir",3,"Bazarak",1,"Province Center_Bazarak",8,"Building",1
68.769196919,35.758910542,2,"Sang Sorakh Secondary School",903262,"Baghlan",3,"Doshi",1,"Sang Sorakh",9,"Building",3
68.805076824,35.837026663,2,"Nasri Secondary School",903263,"Baghlan",3,"Doshi",1,"Naseri Ha",9,"Building",3
68.647883396,35.598126999,2,"School",903264,"Baghlan",3,"Doshi",1,"Dara Gai",9,"Building",3
70.536641035,37.105604606,2,"Al Jahad High School",1701284,"Badakhshan",3,"Faiz Abad",1,"Dasht Shhada",17,"Building",1
70.455790503,37.298549245,2,"Warig High School",1704292,"Badakhshan",3,"Yaftal-E-Sufla",1,"Warang",17,"Building",4
70.426839277,37.364836385,2,"Pahn Dara Secondary School",1704293,"Badakhshan",3,"Yaftal-E-Sufla",1,"Pahn Dara",17,"Building",4
70.437277503,36.864329893,2,"Targani Payan Madrasa",1707294,"Badakhshan",3,"Darayim",1,"Trangai Paian",17,"Building",7
69.867197476,33.288715133,2,"Shahr Kli Mosque",1404182,"Khost",3,"Tanay",1,"Shaher Village",14,"District",4
69.881096,33.334015,2,"Mohammad Anwer Mosque And Hojra",1401024,"Khost",3,"Khost",1,"Maton Chinay Village",14,"Village",1
69.158374,32.918975,2,"Orgon Old School",1211163,"Paktika",2,"Urgoon",0,"Qara Khel Village",12,"Village",11
69.286422,32.740717,0,"Molla Aqib Khan Guest House",1214252,"Paktika",3,"Barmal",3,"Fakhir Khan Madrassa",12,"Village",14
72.794213572,36.976909753,1,"Khana Qala Panja Mosque",1728211,"Badakhshan",2,"Wakhan",1,"Sast",17,"Building",28
70.5771989,37.11921975,4,"Itifaq Mosque",1701008,"Badakhshan",6,"Faiz Abad",2,"D01 - Zone One",17,"Building",1
70.52952398,37.15679029,3,"Ziauddin Shaheed School",1701009,"Badakhshan",4,"Faiz Abad",1,"Aas Village",17,"Building",1
69.17453754,37.08745351,2,"Mula Qali High School",1906185,"Kunduz",3,"Dasht-E-Archi",1,"Mula Qali Village",19,"Building",6
68.94444444,37.21777777,3,"Qarghan Tapa Secondary School",1905067,"Kunduz",4,"Hazrat-E-Imam Sahib",1,"Qorghan Tapa",19,"Building",5
70.58084193,37.11750057,3,"Makhfi High School Old Building",1701019,"Badakhshan",5,"Faiz Abad",2,"Nahia 1 Shahr Kuhna",17,"Building",1
70.42126568,37.05186245,3,"Shahr-E-Wahdat Girls High School",1702056,"Badakhshan",4,"Argo",1,"Shahr-E-Wahdat",17,"Building",2
70.32949994,37.0478517,2,"Barlaas Chenar School",1702057,"Badakhshan",3,"Argo",1,"Barlaas Chenar",17,"Building",2
