لباک,14408,389584,64811,329,904,59107,248220,3530,3962,838,1466,787159
2,0,171,7,0,0,11,31,0,2,0,0,222
3,4,137,8,0,0,11,22,0,0,0,0,182
4,0,36,4,0,0,1,8,0,0,0,0,49
5,0,24,1,0,0,1,9,0,0,0,0,35
6,0,19,1,0,1,1,4,0,0,0,0,26
101056,1,339,55,0,0,21,113,2,1,0,1,533
1,1,115,13,0,0,15,37,0,1,0,0,182
3,0,152,27,0,0,6,46,0,0,0,1,232
4,0,23,4,0,0,0,13,0,0,0,0,40
5,0,17,4,0,0,0,11,0,0,0,0,32
6,0,32,7,0,0,0,6,2,0,0,0,47
101057,11,755,98,0,0,81,295,9,2,0,0,1251
1,2,157,12,0,0,22,64,1,0,0,0,258
2,6,171,21,0,0,29,70,0,0,0,0,297
3,1,109,18,0,0,12,36,3,1,0,0,180
4,2,172,25,0,0,17,71,0,1,0,0,288
5,0,52,8,0,0,0,13,1,0,0,0,74
6,0,47,4,0,0,0,22,2,0,0,0,75
7,0,47,10,0,0,1,19,2,0,0,0,79
101058,12,849,121,1,0,79,361,4,5,0,0,1432
1,1,155,27,0,0,9,71,2,1,0,0,266
2,2,211,24,0,0,21,87,1,4,0,0,350
3,3,207,15,1,0,20,62,1,0,0,0,309
4,3,178,21,0,0,18,69,0,0,0,0,289
5,1,33,12,0,0,4,21,0,0,0,0,71
6,2,38,15,0,0,2,29,0,0,0,0,86
7,0,27,7,0,0,5,22,0,0,0,0,61
101059,8,599,137,0,1,35,247,14,5,2,0,1048
1,3,140,33,0,0,17,83,4,2,0,0,282
2,4,137,21,0,1,8,67,3,0,0,0,241
3,1,125,29,0,0,7,40,1,0,0,0,203
4,0,38,9,0,0,1,12,0,0,0,0,60
5,0,49,12,0,0,0,17,1,0,0,0,79
6,0,110,33,0,0,2,28,5,3,2,0,183
101060,41,1487,120,0,0,109,418,9,4,1,2,2191
1,6,354,25,0,0,22,90,2,2,0,0,501
2,7,332,22,0,0,30,85,3,0,0,1,480
3,11,317,34,0,0,31,96,2,0,0,1,492
4,7,131,15,0,0,12,54,2,0,0,0,221
5,5,108,14,0,0,4,42,0,1,0,0,174
6,4,63,4,0,0,6,12,0,0,0,0,89
7,0,78,6,0,0,2,14,0,0,1,0,101
8,1,104,0,0,0,2,25,0,1,0,0,133
