no.;no_province;district;province;prov_id;vrc_code;vrc_name;location;lat;lon
222;11;Yangi Qala;Takhar;18;1817011;Yangi qala high school;District;37.46662471;69.614611
223;12;Khwajabahawu;Takhar;18;1814012;Khowaja Bahawoddin Male high school;District;37.3375;69.53
224;13;Dasht e Qala;Takhar;18;1812013;city boys school;District;37.15441;69.44858
225;14;Khwajaghar;Takhar;18;1809014;Male high school;District;37.06565664;69.4212544
226;15;Eshkashem;Takhar;18;1811015;Tariq e Shahid high school;District;36.3825219;69.327485
227;16;Warsaj;Takhar;18;1813016;Sayed zuhrudin high school;District;36.20305;70.00495
228;17;Darqad;Takhar;18;1815017;Darqad high school;District;37.38694445;69.45505
229;1;Kunduz;Kunduz;19;1901001;Kadestar management;Province Cent;36.72394432;68.8683762
230;2;Kunduz;Kunduz;19;1901002;Electricity Directorate Emam Bondry;Province Cent;36.72394432;68.8683762
231;3;Emamsaheb;Kunduz;19;1905002;1.( Lasa Zkor Emam Saheb);District;37.17614352;68.9156289
232;4;Qala e Zal;Kunduz;19;1907003;1.( Lase Aq tapa );District;37.03603489;68.4795048
233;5;Chardarah;Kunduz;19;1902004;1.( Lase JamiyatChardarah );District;36.69125165;68.7976541
234;6;Aliabad;Kunduz;19;1903005;1.( Lase Zkor Markazi );District;36.50373223;68.90697
235;7;Khanabad;Kunduz;19;1904006;1.( Lase Zkor«Khan Abad Hasan Miya Khil );District;36.6841102;69.1199564
236;8;Dasht e Archi;Kunduz;19;1906007;1.( Lase JahoriyatMarkaz DashtArchi );District;37.03393588;69.2404314
237;1;Mazar e Sharif;Balkh;21;2101001;Molana Jalaludin Mohammad Balkhi High School;Province Center;;
238;2;Mazar e Sharif;Balkh;21;2101002;Mazar Gas Inistitute;Province Center;;
239;3;Nahr e Shahi;Balkh;21;2102003;mohammad yosuf khair khwah high school;District;36.70277778;67.0794444
240;4;Shortepa;Balkh;21;2112004;Abu Jafar School, Joy wakil;District;37.348249;66.971957
241;5;Dawlatabad;Balkh;21;2109005;Abu Nasar Faryabi high School, Dawalat Abad Center;District;36.99166667;66.7597222
242;6;Balkh;Balkh;21;2106006;Maninicipalty guest house building , Disrtict Cente;District;36.75888889;66.8886111
243;7;Dehdadi;Balkh;21;2103007;Shahed Balkhy School, Markaz Dahdadi;District;36.66277778;66.9936111
244;8;Charkent;Balkh;21;2104008;Shar shar School, Shar shar Village;District;36.41555556;67.1886111
245;9;Marmul;Balkh;21;2105009;Abu hesmat High School, Jama Mosque;District;36.54138889;67.3308333
246;10;Khulm;Balkh;21;2110010;Khulum male high School, Khulum Center;District;36.70437376;67.7277756
247;11;Kaldar;Balkh;21;2113011;Qaran toqi School, Qaran toqi;District;37.19878578;67.6781714
248;12;Sharak e Hayra;Balkh;21;2116012;Naser khesrwo female high school, Hairatan;Province Cent ;37.17481986;67.3254163
249;13;Charbulak;Balkh;21;2111013;Educational Department, Chahar bolak Disrtict Center;District;36.79515431;66.6857192
250;14;Chemtal;Balkh;21;2108014;District New building, District Center;District;36.66360877;66.7536717
251;15;Sholgareh;Balkh;21;2107015;Qadim School, Qadim;District;36.33811888;66.8765805
252;16;Keshendeh;Balkh;21;2114016;Haq Koborok school, Haq Koborok Village;District;36.08030739;66.8368228
253;17;Zari;Balkh;21;2115017;Abul qasim School, Naqichi Village;District;35.9595616;66.6941185
254;1;Aybak;Samangan;20;2001001;Samangan Office, Aybak center;Province Cent;36.26736187;68.0143619
255;2;Hazrat e Sulta;Samangan;20;2002002;past building of police,District center;District;36.45507945;67.8962214
256;3;Feroznakhchir;Samangan;20;2004003;Building of Cultural Complex, Distrect center;District;36.52812435;67.693097
257;4;Dara e Suf e P;Samangan;20;2006004;Male Dehi high school, Distric Center (Dehi );District;35.958611;67.267992
258;5;Dara e Suf e Ba;Samangan;20;2007005;Building of District,Distric Center (Bazar I Sokhta);District;35.90822036;67.2832513
259;6;Khuram Wa Sar;Samangan;20;2003006;Public Masque,District center;District;35.99667037;68.0575356
260;7;Ruy e Duab;Samangan;20;2005007;Public Masque of Do wab center,District center;District;35.56511496;67.8194272
261;1;Sar e Pul;Sar e Pul;22;2201001;Jozjanan Femal High School;Province Cent;36.22028108;65.9299546
