PC_number,PS_number,Eng- Qutbuddin Hilal,Dr.Abdullah Abdullah,Zalmai Rassoul,Abdul Rahim Wardak,Quayum Karzai,Prof-Abdo Rabe Rasool Sayyaf,Dr.Mohammad Ashraf Ghani Ahmadzai,Mohammad Daoud Sultanzoy,Mohd. Shafiq Gul Agha Sherzai,Mohammad Nadir Naeem,Hedayat Amin Arsala,Total
115481,2,57,10,23,0,0,25,311,0,2,0,0,428
115481,3,25,17,17,0,0,93,333,3,8,0,0,496
115483,1,7,35,72,0,3,1,358,2,36,74,0,588
115483,2,31,54,35,0,0,25,331,1,8,1,2,488
115483,3,36,75,23,0,0,12,293,2,6,0,0,447
115483,4,22,0,0,0,0,0,35,0,0,15,0,72
115483,5,6,6,0,0,0,1,86,0,0,0,0,99
115483,6,15,0,8,0,0,24,262,0,0,0,0,309
115484,1,45,53,22,0,0,15,208,5,8,0,1,357
115484,2,31,57,31,0,0,14,227,1,5,0,0,366
115484,3,36,42,11,0,0,15,126,1,0,0,2,233
