votes,ps,ﺭﺩﻧﺟ,ﯽﻫﺩﻳﺃﺭ ﺯﮐﺭﻣ ﻡﺎﻧ,pc_code,ﺕﻳﻻﻭ,audit_number
600,1,ﻪﻧﺎﻧﺯ,טﻧոﺭﺗ ﻥﻭﺗﺳﻣﻠﻳﻣ ﻥﻳﻭﻣ ﮏﻠﻣ,1211166,ﺎﮑﻳﺗﮑﭘ,663
600,2,ﻪﻧﺎﻧﺯ,טﻧոﺭﺗ ﻥﻭﺗﺳﻣﻠﻳﻣ ﻥﻳﻭﻣ ﮏﻠﻣ,1211166,ﺎﮑﻳﺗﮑﭘ,664
600,1,ﻪﻧﺍﺩﺭﻣ,ﻪﻣﻳﺧ ﻪﻏﺭﻣ,1214258,ﺎﮑﻳﺗﮑﭘ,665
600,2,ﻪﻧﺍﺩﺭﻣ,ﻪﻣﻳﺧ ﻪﻏﺭﻣ,1214258,ﺎﮑﻳﺗﮑﭘ,666
600,3,ﻪﻧﺎﻧﺯ,ﻪﻣﻳﺧ ﻪﻏﺭﻣ,1214258,ﺎﮑﻳﺗﮑﭘ,667
600,4,ﻪﻧﺎﻧﺯ,ﻪﻣﻳﺧ ﻪﻏﺭﻣ,1214258,ﺎﮑﻳﺗﮑﭘ,668
600,5,ﻪﻧﺎﻧﺯ,ﻪﻣﻳﺧ ﻪﻏﺭﻣ,1214258,ﺎﮑﻳﺗﮑﭘ,669
600,1,ﻪﻧﺍﺩﺭﻣ,ﺕﺎﻣﻭﺟ ﻥﺎﺟﺭﻣ,1217221,ﺎﮑﻳﺗﮑﭘ,670
600,2,ﻪﻧﺍﺩﺭﻣ,ﺕﺎﻣﻭﺟ ﻥﺎﺟﺭﻣ,1217221,ﺎﮑﻳﺗﮑﭘ,671
600,3,ﻪﻧﺍﺩﺭﻣ,ﺕﺎﻣﻭﺟ ﻥﺎﺟﺭﻣ,1217221,ﺎﮑﻳﺗﮑﭘ,672
600,1,ﻪﻧﺎﻧﺯ,ﻪﻣﻳﺧ ﯽﻠﮐ ﻥﺎﺟﺭﻣ,1217299,ﺎﮑﻳﺗﮑﭘ,673
600,1,ﻪﻧﺎﻧﺯ,ﻲըﻧﻭﻭ֢ ﻪﻳﺋﺍﺩﺗﺑﺍ ﻙﺯﺭﺎﻣ,1205286,ﺎﮑﻳﺗﮑﭘ,674
600,2,ﻪﻧﺎﻧﺯ,ﻲըﻧﻭﻭ֢ ﻪﻳﺋﺍﺩﺗﺑﺍ ﻙﺯﺭﺎﻣ,1205286,ﺎﮑﻳﺗﮑﭘ,675
600,1,ﻪﻧﺍﺩﺭﻣ,ﺕﺎﻣﻭﺟ ﯽﺗﺳﻣ,1210153,ﺎﮑﻳﺗﮑﭘ,676
