ﮐﻭﺩ ﻣﺭﮐﺯ ﺭﺍﻳﺩﻫﯽ,ﻭﻻﻳﺕ,ﻭﻟﺳﻭﺍﻟﻲ,ﻧﺎﻡ ﻣﺭﮐﺯ ﺭﺍﻳﺩﻫﯽ,ﻣﻭﻗﻳﻌﺕ ﻣﺭﮐﺯ ﺭﺍﻳﺩﻫﯽ,ﻣﺣﻼﺕ ﻣﺭﺩﺍﻧﻪ,ﻣﺣﻼﺕ ﺯﻧﺎﻧﻪ,ﻣﺟﻣﻭﻉ ﻣﺣﻼﺕ
2403109,ﺩﺍﻳﮑﻧﺩی,ﮔﻳﺯﺍﺏ,ﻣﺳﺟﺩ ﺻﺎﺣﺏ ﺯﻣﺎﻥ ﻭﮔﻳﺭ,ﻭﮔﻳﺭ,1,1,2
2504035,ﺍﺭﺯﮔﺎﻥ,ﺷﻬﻳﺩ ﺣﺳﺎﺱ,ﻣﮑﺗﺏ ﻗﻠﻌﻪ ﮐﻼﻥ,יﻭﺭיﻳﻥ ﮐﻠﯽ,3,1,4
2606015,ﺯﺍﺑﻝ,ﺷﺎﻩ ﺟﻭی,ﻣﺳﺟﺩ ﺷﻳﺭﺯی ﺣﺎﺟﯽ ﻋﺑﺩﷲ ﺧﺎﻥ,ﺟﻌﻔﺭ ﻣﺳﺟﺩ,3,1,4
2608073,ﺯﺍﺑﻝ,ﺍﺗﻐﺭ,ﻣﺩﺭﺳﻪ,ﺗﻭﺭﺍﻏﻪ ﮐﻠﯽ,2,1,3
2707116,ﮐﻧﺩﻫﺎﺭ,ﺧﺎک ﺭﻳﺯ,ﺩ ﺭﺣﻣﺕ ﷲ ﻛﻭﺭ ﺗﺭոﻧט,ﻻﻟﻙ,1,1,2
2707119,ﮐﻧﺩﻫﺎﺭ,ﺧﺎک ﺭﻳﺯ,ﺩ ﻣﻠﻙ ﻣﺣﻣﺩ ﺷﺎﻩ ﻛﻭﺭ ﺗﻪ ﻧږﺩی,ﻻﻡ,2,0,2
2805092,ﺟﻭﺯﺟﺎﻥ,ﻗﻭﺵ ﺗﻳﭘﻪ,ﻣﮑﺗﺏ ﺗﺭﮐﻣﻥ ﻗﺩﻭﻕ,ﻗﻭﺵ ﺗﺑﻪ,1,1,2
2805094,ﺟﻭﺯﺟﺎﻥ,ﻗﻭﺵ ﺗﻳﭘﻪ,ﻣﮑﺗﺏ ﺗﺭﺍﻏﻠﯽ,ﻗﻭﺵ ﺗﺑﻪ,1,1,2
2805124,ﺟﻭﺯﺟﺎﻥ,ﻗﻭﺵ ﺗﻳﭘﻪ,ﻣﮑﺗﺏ,ﺷﻭﺭﻗﺩﻭﻕ,2,1,3
2902018,ﻓﺎﺭﻳﺎﺏ,ﭘﺷﺗﻭﻥ ﮐﻭﺕ,ﻣﮑﺗﺏ ﺫﮐﻭﺭﺧﻭﺍﺟﻪ ﻧﺎﻣﻭﺳﯽ,ﺧﻭﺍﺟﻪ ﻧﺎﻣﻭﺳﯽ,2,0,2
2902023,ﻓﺎﺭﻳﺎﺏ,ﭘﺷﺗﻭﻥ ﮐﻭﺕ,ﻣﮑﺗﺏ ﺍﻧﺎﺙ ﺧﻭﺍﺟﻪ ﻧﺎﻣﻭﺳﯽ,ﺧﻭﺍﺟﻪ ﻧﺎﻣﻭﺳﯽ,0,3,3
2902047,ﻓﺎﺭﻳﺎﺏ,ﭘﺷﺗﻭﻥ ﮐﻭﺕ,ﻣﺳﺟﺩ ﺭﻫﯽ ﺧﻭﺍﺟﻪ ﻣﺭﺍﺩ,ﺭﻫﯽ ﺧﻭﺍﺟﻪ ﻣﺭﺍﺩ,1,1,2
2902048,ﻓﺎﺭﻳﺎﺏ,ﭘﺷﺗﻭﻥ ﮐﻭﺕ,ﻣﺳﺟﺩ ﺣﻠﻭﺍ ﺧﻭﺭ ﺑﺎﻻ,ﺣﻠﻭﺍ ﺧﻭﺭ ﺑﺎﻻ,1,1,2
2902200,ﻓﺎﺭﻳﺎﺏ,ﭘﺷﺗﻭﻥ ﮐﻭﺕ,ﻣﺳﺟﺩ ﺩﻫﻧﺩﺭﻩ ﮔﻠﻳﻡ ﺑﺎﻑ,ﺩﻫﻧﺩﺭﻩ ﮔﻠﻳﻡ ﺑﺎﻑ,1,1,2
2904064,ﻓﺎﺭﻳﺎﺏ,ﺍﻟﻣﺎﺭ,ﻣﺳﺟﺩ ﺟﺎﻣﻊ ﻗﺭﻩ ﻏﻭﻳﻠﯽ,ﻗﺭﻳﻪ ﻗﺭﻩ ﻏﻭﻳﻠﯽ,1,1,2
2904068,ﻓﺎﺭﻳﺎﺏ,ﺍﻟﻣﺎﺭ,ﻣﺳﺟﺩ ﺟﺎﻣﻊ ﺑﺎﺩﻏﺳﯽ,ﺑﺎﺩﻏﺳﯽ,1,1,2
2904072,ﻓﺎﺭﻳﺎﺏ,ﺍﻟﻣﺎﺭ,ﻣﮑﺗﺏ ﺍﺑﺗﺩﺍﺋﻳﻪ ﻣﻳﺭ ﺷﺎﺩی,ﻣﻳﺭ ﺷﺎﺩی,2,1,3
2904078,ﻓﺎﺭﻳﺎﺏ,ﺍﻟﻣﺎﺭ,ﻗﺭﻗﻘﻭﻝ ﻣﺳﺟﺩ ﺗﻭﺭﺟﺎﻥ,ﻗﺭﻳﻪ ﻗﺭﻗﻘﻭﻝ,1,1,2
2907081,ﻓﺎﺭﻳﺎﺏ,ﻗﻳﺻﺎﺭ,ﻣﮑﺗﺏ ﺍﺑﺗﺩﺍﺋﻳﻪ ﺫﮐﻭﺭ ﻫﺯﺍﺭﻩ ﻗﻠﻌﻪ ﭼﻬﻠﮕﺯی,ﻫﺯﺍﺭﻩ ﻗﻠﻌﻪ,2,2,4
2907085,ﻓﺎﺭﻳﺎﺏ,ﻗﻳﺻﺎﺭ,ﻣﺳﺟﺩ ﻣﺎﺗﻭ,ﭼﻬﻝ ﮔﺯی,1,1,2
2907086,ﻓﺎﺭﻳﺎﺏ,ﻗﻳﺻﺎﺭ,ﻣﺳﺟﺩ ﺟﺎﻣﻊ ﺷﺎﺥ,ﺑﺎﺯﺍﺭ ﮐﻬﻧﻪ ﺷﺎﺥ,2,2,4
2907089,ﻓﺎﺭﻳﺎﺏ,ﻗﻳﺻﺎﺭ,ﻣﮑﺗﺏ ﻳﮑﻪ ﺑﺎﻍ,ﻳﮑﻪ ﺑﺎﻍ,1,1,2
2907091,ﻓﺎﺭﻳﺎﺏ,ﻗﻳﺻﺎﺭ,ﻣﺳﺟﺩ ﺟﺎﻣﻊ ﺟﻳﮕﺩﻟﻳﮏ,ﻗﺭﻳﻪ ﺟﻳﮕﺩ ﻟﻳﮏ,2,1,3
2907095,ﻓﺎﺭﻳﺎﺏ,ﻗﻳﺻﺎﺭ,ﻣﺳﺟﺩ ﮐﺎﺭﻳﺯ,ﭼﻬﻠﮕﺯی,1,1,2
2907096,ﻓﺎﺭﻳﺎﺏ,ﻗﻳﺻﺎﺭ,ﻣﺳﺟﺩ ﭼﻬﺎﺭ ﺷﻧﺑﻪ ﺍﺯﺑﮑﻳﻪ,ﻗﺭﻳﻪ ﭼﻬﺎﺭ ﺷﻧﺑﻪ ﺍﺯﺑﮑﻳﻪ,1,1,2
2907099,ﻓﺎﺭﻳﺎﺏ,ﻗﻳﺻﺎﺭ,ﻣﺳﺟﺩ ﺳﺭ ﺗﺧﺕ,ﺳﺭ ﺗﺧﺕ,1,1,2
2907107,ﻓﺎﺭﻳﺎﺏ,ﻗﻳﺻﺎﺭ,ﻣﺳﺟﺩ ﻏﻭﺭﻩ,ﻏﻭﺭﻩ,2,1,3
2907110,ﻓﺎﺭﻳﺎﺏ,ﻗﻳﺻﺎﺭ,ﻣﮑﺕ ﺍﺑﺗﺩﺍﺋﻳﻪ ﺯﻭﺭی ﻫﺎ,ﺯﻭﺭی ﻫﺎ,2,1,3
2909166,ﻓﺎﺭﻳﺎﺏ,ﺩﻭﻟﺕ ﺁﺑﺎﺩ,ﻣﮑﺗﺏ ﺍﺑﺗﺩﺍی ﺗﺧﺕ ﭘﻠﻭﺭﺩی,ﺗﺧﺕ ﭘﻠﻭﺭﺩی,3,1,4
2909167,ﻓﺎﺭﻳﺎﺏ,ﺩﻭﻟﺕ ﺁﺑﺎﺩ,ﭘﺗﻪ ﺑﺎﺑﺎ,ﻗﺭﻳﻪ ﭘﺗﻪ ﺑﺎﺑﺎ,4,2,6
2909169,ﻓﺎﺭﻳﺎﺏ,ﺩﻭﻟﺕ ﺁﺑﺎﺩ,ﺷﺷﭘﺭ,ﻗﺭﻳﻪ ﺷﺷﭘﺭ,2,2,4
2910112,ﻓﺎﺭﻳﺎﺏ,ﮐﻭﻫﺳﺗﺎﻥ,ﻣﮑﺗﺏ ﺍﺑﺗﺩﺍی ﺑﻧﺩﺭ,ﺑﻧﺩﺭﮐﻭﻫﺳﺗﺎﻥ,2,2,4
2910114,ﻓﺎﺭﻳﺎﺏ,ﮐﻭﻫﺳﺗﺎﻥ,ﻣﮑﺗﺏ ﺩﻫﻧﺩﺭﻩ,ﺩﻫﻧﺩﺭﻩ,1,1,2
2910116,ﻓﺎﺭﻳﺎﺏ,ﮐﻭﻫﺳﺗﺎﻥ,ﻣﺳﺟﺩ ﺩﺷﺕ ﺻﺣﺭﺍی ﻣﻠﻐﯽ,ﺩﺷﺕ ﺻﺣﺭﺍی ﻣﻠﻐﯽ,1,1,2
2910119,ﻓﺎﺭﻳﺎﺏ,ﮐﻭﻫﺳﺗﺎﻥ,ﻣﺳﺟﺩ ﮔﻭﺭﺯﻥ,ﮔﻭﺭﺯﻥ,2,2,4
3104071,ﺑﺎﺩﻏﻳﺱ,ﻗﺎﺩﺱ,ﻣﮑﺗﺏ ﮐﺎﺭﻳﺯ,ﻣﮑﺗﺏ ﮐﺎﺭﻳﺯ,2,1,3
3104072,ﺑﺎﺩﻏﻳﺱ,ﻗﺎﺩﺱ,ﻣﺳﺟﺩ ﻗﺭﻳﻪ ﺷﻭﺭﺁﺏ ﺑﺎﻻ,ﺷﻭﺭﺍﺏ ﺑﺎﻻ,1,1,2
3104086,ﺑﺎﺩﻏﻳﺱ,ﻗﺎﺩﺱ,ﻗﻭﻟﯽ ﺯﺭﺩک,ﻗﻭﻟﯽ ﺯﺭﺩک,1,1,2
3105168,ﺑﺎﺩﻏﻳﺱ,ﺑﺎﻻ ﻣﺭﻏﺎﺏ,ﻣﮑﺗﺏ ﻣﺣﻠﻪ ﭘﺎﻳﻳﻥ,ﻣﺣﻠﻪ ﭘﺎﻳﻳﻥ,3,2,5
3106115,ﺑﺎﺩﻏﻳﺱ,ﺟﻭﻧﺩ,ﻣﺳﺟﺩ ﻳﮏ ﻣﻳﺭﺍﻭک,ﻳﮏ ﻣﻳﺭﺍﻭک,1,1,2
3106116,ﺑﺎﺩﻏﻳﺱ,ﺟﻭﻧﺩ,ﻣﺳﺟﺩ ﻣﻭﻻﺩﺍﺩ,ﻗﺭﻳﻪ ﮐﻭﺟﻪ ﻻﻝ ﺑﺎی,1,1,2
3106119,ﺑﺎﺩﻏﻳﺱ,ﺟﻭﻧﺩ,ﻣﺳﺟﺩ ﻗﺭﻳﻪ ﭼﻣﻥ ﺑﻳﺩ,ﭼﻣﻥ ﺑﻳﺩ,1,1,2
3106120,ﺑﺎﺩﻏﻳﺱ,ﺟﻭﻧﺩ,ﻣﺳﺟﺩ ﻗﺭﻳﻪ ﺩﻫﻥ ﺧﻳﺳﯽ,ﻗﺭﻳﻪ ﺩﻫﻥ ﺧﻳﺳﯽ,1,1,2
3106121,ﺑﺎﺩﻏﻳﺱ,ﺟﻭﻧﺩ,ﻣﺳﺟﺩ ﻗﺭﻳﻪ ﺳﻳﺑﮏ,ﻗﺭﻳﻪ ﺳﻳﺑﮏ,1,1,2
3106122,ﺑﺎﺩﻏﻳﺱ,ﺟﻭﻧﺩ,ﻣﺳﺟﺩ ﻗﺭﻳﻪ ﭘﻳﺗﻭ,ﭘﻳﺗﻭ,1,2,3
3203116,ﻫﺭﺍﺕ,ﮔﺫﺭﻩ,ﻣﻭﻗﻌﻳﺕ ﮐﻭﭼﯽ ﻫﺎی ﭼﺎﻩ ﺑﻠﺑﻝ,ﻗﺭﻳﻪ ﭼﺎﻩ ﺑﻠﺑﻝ,2,2,4
3205269,ﻫﺭﺍﺕ,ﺯﻧﺩﻩ ﺟﺎﻥ,ﻣﮑﺗﺏ ﭘﻬﺭﻩ,ﭘﻬﺭﻩ,2,1,3
3205457,ﻫﺭﺍﺕ,ﺯﻧﺩﻩ ﺟﺎﻥ,ﮐﻠﻳﻧﻳﮏ ﮐﺎﺭﻳﺯ ﭘﺩﻩ,ﻗﺭﻳﻪ ﮐﺎﺭﻳﺯ ﭘﺩﻩ,1,1,2
3205477,ﻫﺭﺍﺕ,ﺯﻧﺩﻩ ﺟﺎﻥ,ﻣﺟﺗﻣﻊ ﻓﺭﻫﻧﮕﯽ,ﺳﻧﮓ ﺗﺭﻗﻳﺩﻩ,2,1,3
3208198,ﻫﺭﺍﺕ,ﮔﻠﺭﺍﻥ,ﮐﻠﻳﻧﻳﮏ ﮔﻠﺭﺍﻥ ﺧﺎﻭﮔﻳﺎﻧﯽ,ﮔﻠﺭﺍﻥ ﺧﺎﻭﮔﻳﺎﻧﯽ,3,2,5
3208199,ﻫﺭﺍﺕ,ﮔﻠﺭﺍﻥ,ﻣﺳﺟﺩ ﻧﻬﺭﺍﺏ,ﻧﻬﺭﺍﺏ,2,1,3
3208202,ﻫﺭﺍﺕ,ﮔﻠﺭﺍﻥ,ﻣﮑﺗﺏ ﺍﺑﺗﺩﺍﺋﻳﻪ ﺳﻳﺎﻩ ﮐﻣﺭک,ﺳﻳﺎﻩ ﮐﻣﺭک,2,1,3
3208209,ﻫﺭﺍﺕ,ﮔﻠﺭﺍﻥ,ﻣﺳﺟﺩ ﭼﺎﻩ ﮐﻬﺳﺎﻧﯽ,ﭼﺎﻩ ﮐﻬﺳﺎﻧﯽ,2,1,3
3208210,ﻫﺭﺍﺕ,ﮔﻠﺭﺍﻥ,ﻣﮑﺗﺏ ﺍﺑﺗﺩﺍﻳﯽ ﺗﻭﺗﻳﭼﯽ,ﺗﻭﺗﻳﭼﯽ,2,3,5
3208217,ﻫﺭﺍﺕ,ﮔﻠﺭﺍﻥ,ﻣﻛﺗﺏ ﻣﻳﺵ ﻣﺳﺕ,ﻣﻳﺵ ﻣﺳﺕ,2,1,3
3208224,ﻫﺭﺍﺕ,ﮔﻠﺭﺍﻥ,ﻣﺳﺟﺩ ﺭﻳﮓ ﺁﺏ,ﻗﺭﻳﻪ ﺭﻳﮓ ﺁﺏ,1,1,2
3208225,ﻫﺭﺍﺕ,ﮔﻠﺭﺍﻥ,ﻣﺳﺟﺩ ﺁﺏ ﺳﻔﻳﺩ,ﻗﺭﻳﻪ ﺁﺏ ﺳﻔﻳﺩ,2,1,3
3209280,ﻫﺭﺍﺕ,ﺍﺩﺭﺳﮑﻥ,ﻣﮑﺗﺏ ﺍﺑﺗﺩﺍﻳﯽ ﺗﻳﺭ ﮔﺭﺩ,ﻗﺭﻳﻪ ﺗﻳﺭ ﮔﺭﺩ,1,1,2
3209288,ﻫﺭﺍﺕ,ﺍﺩﺭﺳﮑﻥ,ﻣﺳﺟﺩ ﺗﺧﺎﺏ,ﺗﺧﺎﺏ,1,1,2
3209293,ﻫﺭﺍﺕ,ﺍﺩﺭﺳﮑﻥ,ﻣﺳﺟﺩ ﺗﻧﻭﺭﻩ,ﺗﻧﻭﺭﻩ,1,1,2
3209294,ﻫﺭﺍﺕ,ﺍﺩﺭﺳﮑﻥ,ﻣﺳﺟﺩ ﭼﺎﻩ ﺳﺭﺧﮏ,ﭼﺎﻩ ﺳﺭﺧﮏ,1,1,2
3209463,ﻫﺭﺍﺕ,ﺍﺩﺭﺳﮑﻥ,ﻣﺳﺟﺩ ﮐﻔﺗﺭی,ﮐﻔﺗﺭی,1,1,2
3209482,ﻫﺭﺍﺕ,ﺍﺩﺭﺳﮑﻥ,ﻣﺳﺟﺩ ﻏﻼﻡ ﻛﺷﺗﻪ,ﻏﻼﻡ ﻛﺷﺗﻪ,2,1,3
3213449,ﻫﺭﺍﺕ,ﮐﻬﺳﺎﻥ,ﺧﻳﻣﻪ ﻧﻲ ﻳﻙ,ﻧﯽ ﻳﮏ,1,1,2
3214320,ﻫﺭﺍﺕ,ﺷﻳﻧﺩﻧﺩ,ﻣﺳﺟﺩ ﺩﻩ  ﻋﻠﻳﮑﻪ,ﺩﻩ ﻋﻠﻳﮑﻪ,1,1,2
3214332,ﻫﺭﺍﺕ,ﺷﻳﻧﺩﻧﺩ,ﻣﮑﺗﺏ ﺷﻬﺭﺁﺑﺎﺩ,ﺷﻬﺭ ﺁﺑﺎﺩ ﺍﻭﻝ,2,2,4
3214334,ﻫﺭﺍﺕ,ﺷﻳﻧﺩﻧﺩ,ﻣﺳﺟﺩ ﺑﺧﺕ ﺁﺑﺎﺩ,ﺷﻬﺭﺁﺑﺎﺩ ﺳﻭﻡ,2,1,3
3214336,ﻫﺭﺍﺕ,ﺷﻳﻧﺩﻧﺩ,ﮐﻠﻳﻧﻳﮏ ﭼﻬﺎﺭ ﻗﻠﻌﻪ ﺩﻭﻡ,ﭼﻬﺎﺭ ﻗﻠﻌﻪ ﺩﻭﻡ,1,1,2
3214464,ﻫﺭﺍﺕ,ﺷﻳﻧﺩﻧﺩ,ﻣﻛﺗﺏ ﺳﻧﮕﺳﺗﺎﻥ,ﺳﻧﮕﺳﺗﺎﻥ,1,1,2
3214466,ﻫﺭﺍﺕ,ﺷﻳﻧﺩﻧﺩ,ﻣﺳﺟﺩ ﻛﺷﻙ,ﮐﺷﮏ,1,1,2
3214467,ﻫﺭﺍﺕ,ﺷﻳﻧﺩﻧﺩ,ﻣﺳﺟﺩ ﻣﻌﺭﻭﻑ ﺧﻳﻝ,ﻣﻌﺭﻭﻑ ﺧﻳﻝ,1,1,2
3301017,ﻓﺭﺍﻩ,ﻓﺭﺍﻩ,ﻣﮑﺗﺏ ﺧﺭﻣﺎﻟﻖ,ﺧﻭﺭﻣﺎﻟﻖ,2,2,4
3302048,ﻓﺭﺍﻩ,ﭘﺷﺕ ﺭﻭﺩ,ﮐﺎﺭﻳﺯﺑﺩﺍﻝ,ﮐﺎﺭﻳﺯ ﺑﺩﺍﻝ  ) ﮐﻭﭼﯽ (,1,1,2
3304084,ﻓﺭﺍﻩ,ﻗﻠﻌﻪ ﮐﺎﻩ,ﻣﺳﺟﺩ ﮐﺎﺭﻳﺯک,ﮐﺎﺭﻳﺯک,1,1,2
3307069,ﻓﺭﺍﻩ,ﺍﻧﺎﺭ ﺩﺭﻩ,ﻣﺳﺟﺩ ﭘﺩﻫﯽ,ﭘﺩﻫﯽ,1,1,2
3310167,ﻓﺭﺍﻩ,ﮔﻠﺳﺗﺎﻥ,ﻣﺳﺟﺩ ﻻﺭﺗﯽ,ﻻﺭﺗﯽ,1,1,2
3311200,ﻓﺭﺍﻩ,ﭘﺭﭼﻣﻥ,ﻣﺳﺟﺩ ﺩﺍﻣﻧﻪ,ﺩﺍﻣﻧﻪ,1,1,2
3311216,ﻓﺭﺍﻩ,ﭘﺭﭼﻣﻥ,ﻣﺳﺟﺩ ﮐﺎﻟﻭﺷﺕ,ﮐﺎﻟﻭﺷﺕ,1,1,2
3406056,ﻧﻳﻣﺭﻭﺯ,ﺩﻻﺭﺍﻡ,ﭘﻭﺯﻩ ﮔﯽ,ﭘﻭﺯﻩ ﮔﯽ,1,1,2
3406057,ﻧﻳﻣﺭﻭﺯ,ﺩﻻﺭﺍﻡ,ﺩﻧﮕﺭ ﺁﺑﺎﺩ,ﺩﻧﮕﺭ ﺁﺑﺎﺩ,1,1,2
