ﮐﻭﺩ ﻣﺭﮐﺯ ﺭﺍﻳﺩﻫﯽ,ﻭﻻﻳﺕ,ﻭﻟﺳﻭﺍﻟﻲ,ﻧﺎﻡ ﻣﺭﮐﺯ ﺭﺍﻳﺩﻫﯽ,ﻣﻭﻗﻳﻌﺕ ﻣﺭﮐﺯ ﺭﺍﻳﺩﻫﯽ,ﻣﺣﻼﺕ ﻣﺭﺩﺍﻧﻪ,ﻣﺣﻼﺕ ﺯﻧﺎﻧﻪ,ﻣﺟﻣﻭﻉ ﻣﺣﻼﺕ
0502031,ﻟﻭﮔﺭ,ﺑﺭﮐﯽ ﺑﺭک,ﻣﺳﺟﺩ ﺷﺎﻩ ﻣﺯﺍﺭ,ﻗﺭﻳﻪ ﺷﺎﻩ ﻣﺯﺍﺭ,2,1,3
0502037,ﻟﻭﮔﺭ,ﺑﺭﮐﯽ ﺑﺭک,ﻣﺳﺟﺩ ﭘﻝ ﺭﺍﺟﺎﻥ,ﭘﻝ ﺭﺍﺟﺎﻥ,2,1,3
0502040,ﻟﻭﮔﺭ,ﺑﺭﮐﯽ ﺑﺭک,ﻣﺳﺟﺩ ﷲ ﺩﺍﺩ ﺧﻳﻝ,ﷲ ﺩﺍﺩ ﺧﻳﻝ,2,1,3
0503041,ﻟﻭﮔﺭ,ﭼﺭﺥ,ﻣﮑﺗﺏ ﻣﺗﻭﺳﻁﻪ ﺍﻟﺣﺎﺝ ﺷﻬﻳﺩ ﺗﻔﺳﻳﺭ ﺷﺎﻩ,ﭘﻧﮕﺭﺍﻡ ﺳﺭ ﺁﺳﻳﺎﺏ,2,2,4
0503042,ﻟﻭﮔﺭ,ﭼﺭﺥ,ﮐﻠﻳﻧﻳﮏ ﺍﺭﮔﻭﻡ,ﻗﺭﻳﻪ ﺍﺭﮔﻭﻡ,3,2,5
0503043,ﻟﻭﮔﺭ,ﭼﺭﺥ,ﻣﮑﺗﺏ ﻣﻭﻻﻧﺎ ﻳﻌﻘﻭﺏ ﭼﺭﺧﯽ,ﮔﺭﻡ ﺁﺑﻪ,6,3,9
0506068,ﻟﻭﮔﺭ,ﺧﺭﻭﺍﺭ,ﻣﮑﺗﺏ ﺧﻭﺍﺟﻪ ﺍﻧﮕﻭﺭ,ﻗﺭﻳﻪ ﺧﻭﺍﺟﻪ ﺍﻧﮕﻭﺭ,3,4,7
0506069,ﻟﻭﮔﺭ,ﺧﺭﻭﺍﺭ,ﻣﮑﺗﺏ ﺍﭘﻪ ﺧﺎﻥ,ﻗﺭﻳﻪ ﻣﻧﯽ ﺑﺎﺯﺍﺭ,1,1,2
0506071,ﻟﻭﮔﺭ,ﺧﺭﻭﺍﺭ,ﻣﮑﺗﺏ ﮐﻭﺗﮕﻰ,ﮔﺩﻯ ﺧﻳﻝ,2,1,3
0507077,ﻟﻭﮔﺭ,ﺍﺫﺭﻩ,ﻣﮑﺗﺏ ﺳﻧﮓ ﺑﺎﺭﺍﻥ,ﻗﺭﻳﻪ ﺳﻧﮓ ﺑﺎﺭﺍﻥ,3,2,5
