 ﺕﻼﺣﻣ ﻉﻭﻣﺟﻣ ,ﻪﻧﺎﻧﺯ ﺕﻼﺣﻣ   ,  ﻪﻧﺍﺩﺭﻣ ﺕﻼﺣﻣ  ,ﯽﻫﺩﻳﺍﺭ ﺯﮐﺭﻣ ﺕﻌﻳﻗﻭﻣ,ﯽﻫﺩﻳﺍﺭ ﺯﮐﺭﻣ ﻡﺎﻧ,ﻲﻟﺍﻭﺳﻟﻭ,ﺕﻳﻻﻭ,  ﯽﻫﺩﻳﺍﺭ ﺯﮐﺭﻣ ﺩﻭﮐ 
2,1,1,ﻝﻳﺧ ﯽﺳﻭﻫ, ﻝﻳﺧ ﯽﺳﻭﻫ ﻪﻳﺭﻗ ﺭﺧﺍﺭﺩ ﻪﻣﻳﺧ,ﺩﺎﺑﺁ ﺩﻳﺳ,کﺩﺭﻭ,0405122
2,1,1,ﮏﻳﺑ ﻥﺳﺣ, ﮏﻳﺑ ﻥﺳﺣ ﻪﻳﺭﻗ ﻥﻼﮐ ﺩﺟﺳﻣ,ﺩﺎﺑﺁ ﺩﻳﺳ,کﺩﺭﻭ,0405123
2,1,1,ﮏﻏﺎﺑ ﺕﺑﺭﻭﮐ,ﻪﻣﻳﺧ,ﺩﺎﺑﺁ ﺩﻳﺳ,کﺩﺭﻭ,0405129
2,1,1,ﻥﺎﺧ ﻪﻧﺯ, ﻥﺎﺧ ﻪﻧﺯ ﺩﺟﺳﻣ,ﺩﺎﺑﺁ ﺩﻳﺳ,کﺩﺭﻭ,0405130
2,1,1,ﻡړﻟ, ﻡړﻟ ﺕﺷﺩ ﻪﻣﻳﺧ,ﺩﺎﺑﺁ ﺩﻳﺳ,کﺩﺭﻭ,0405133
2,1,1,ﺩﻳﻔﺳ ﯽﻧﻳﺑ,ﻪﻣﻳﺧ,ﺩﺎﺑﺁ ﺩﻳﺳ,کﺩﺭﻭ,0405134
2,1,1,ﻥﻳﺭﺯ یﻭﺟ,ﻥﻳﺭﺯ یﻭﺟ ﻪﻳﺋﺍﺩﺗﺑﺍ ﺏﺗﮑﻣ,ﺩﺎﺑﺁ ﺩﻳﺳ,کﺩﺭﻭ,0405135
2,1,1,ﺭﻳﻣﺍ ﻪﻌﻠﻗ,ﺭﻳﻣﺍ ﻪﻌﻠﻗ ﺭﺩ  ﻪﻣﻳﺧ,ﺩﺎﺑﺁ ﺩﻳﺳ,کﺩﺭﻭ,0405136
2,1,1,ﻝﻳﺧ ﻥﺍﺭﻣﺎﮐ,ﻝﻳﺧ ﻥﺍﺭﻣﺎﮐ ﻪﺳﻳﻟ,ﺩﺎﺑﺁ ﺩﻳﺳ,کﺩﺭﻭ,0405137
3,1,2,ﺭﻭﺍﺩﻧﺳ, ﺭﻭﺍﺩﻧﺳ ﻪﻳﺭﻗ ﺭﺩ  ﻪﻣﻳﺧ,ﺩﺎﺑﺁ ﺩﻳﺳ,کﺩﺭﻭ,0405138
3,1,2,ﺏﺁﻭﺩ,ﺩﻣﺣﻣ ﻡﺎﻣﺍ ﺏﺗﮑﻣ,ﺩﺎﺑﺁ ﺩﻳﺳ,کﺩﺭﻭ,0405139
4,2,2,ﺩﺎﺑﺁ ﺦﻳﺷ ﻩﻭﮐ,ﺩﺎﺑﺁ ﺦﻳﺷ ﻩﻭﮐ ﻪﻣﻳﺧ,ﺩﺎﺑﺁ ﺩﻳﺳ,کﺩﺭﻭ,0405140
2,1,1,ﺩﻧﺑﺭﺳ ﺩﺩﺳ ﻪﻳﺭﻗ,ﻕﻭﺭﺎﻓ ﺩﻳﺳ ﻝﺯﻧﻣ ﺏﻘﻋ,ﻭﺗﻐﺟ,کﺩﺭﻭ,0408072
4,2,2,ﻥﺎﺷﻭﮐ, ﻥﺍﺩﻭﮐ ﺏﺗﮑﻣ,ﻭﺗﻐﺟ,کﺩﺭﻭ,0408073
3,1,2,ﻝﻳﺧﺎﺑﺎﺑﺭﺑﺑ,ﻪﻔﻳﻧﺣ ﻭﺑﺍ ﻡﺎﻣﺍ ﺏﺗﮑﻣ,ﻭﺗﻐﺟ,کﺩﺭﻭ,0408074
2,1,1,ﻪﻟﺯﻧﺳ,ﻪﻟﺯﻧﺳ ﺩﺟﺳﻣ,ﻭﺗﻐﺟ,کﺩﺭﻭ,0408075
3,1,2,ﻩﺩﻧﻼﮐ,ﻩﺩﻧﻼﮐ ﮏﻳﻧﻳﻠﮐ,ﻭﺗﻐﺟ,کﺩﺭﻭ,0408076
2,1,1,یﺭﻏﻻ,یﺭﻏﻻ ﮏﻳﻧﻳﻠﮐ,ﻭﺗﻐﺟ,کﺩﺭﻭ,0408077
2,1,1, ﻥﺎﻁﻠﺳ ﺩﻧﺑ,ﻥﺎﻁﻠﺳ ﺩﻧﺑ ﻥﺎﺧ ﺭﻅﻧ ﺏﺗﮑﻣ,ﻭﺗﻐﺟ,کﺩﺭﻭ,0408078
2,1,1,ﻝﻳﺧ ﺎﺷﻭﺑ,ﻪﻳﺭﻗ ﮏﻠﻣ ﺭﺗﻓﺩ,ﻭﺗﻐﺟ,کﺩﺭﻭ,0408079
2,1,1,ﻝﻳﺧ ﺭﻭﻧ,ﻝﻳﺧ ﺭﻭﻧ ﺏﺗﮑﻣ,ﻭﺗﻐﺟ,کﺩﺭﻭ,0408080
2,1,1,ﻥﺎﻣﻳﻠﺳ ﻪﻌﻠﻗ,ﻪﻣﻳﺧ,ﻭﺗﻐﺟ,کﺩﺭﻭ,0408081
2,1,1,ﻪﻟﻭﻣ,ﷲ ﺕﻣﺣﺭ ﯽﺻﺧﺷ ﻪﻧﺎﺧ ﺭﺍﻭﺟ,ﻭﺗﻐﺟ,کﺩﺭﻭ,0408082
3,1,2,ﺭﺍﺯﻣ ﻩﺎﺷ ﻪﻳﺭﻗ, ﺭﺍﺯﻣ ﻩﺎﺷ ﺩﺟﺳﻣ,کﺭﺑ ﯽﮐﺭﺑ,ﺭﮔﻭﻟ,0502031
3,1,2,ﻥﺎﺟﺍﺭ ﻝﭘ, ﻥﺎﺟﺍﺭ ﻝﭘ ﺩﺟﺳﻣ,کﺭﺑ ﯽﮐﺭﺑ,ﺭﮔﻭﻟ,0502037
3,1,2,ﻝﻳﺧ ﺩﺍﺩ ﷲ,ﻝﻳﺧ ﺩﺍﺩ ﷲ ﺩﺟﺳﻣ,کﺭﺑ ﯽﮐﺭﺑ,ﺭﮔﻭﻟ,0502040
4,2,2,ﺏﺎﻳﺳﺁ ﺭﺳ ﻡﺍﺭﮕﻧﭘ,ﻩﺎﺷ ﺭﻳﺳﻔﺗ ﺩﻳﻬﺷ ﺝﺎﺣﻟﺍ ﻪﻁﺳﻭﺗﻣ ﺏﺗﮑﻣ,ﺥﺭﭼ,ﺭﮔﻭﻟ,0503041
5,2,3,ﻡﻭﮔﺭﺍ ﻪﻳﺭﻗ,ﻡﻭﮔﺭﺍ ﮏﻳﻧﻳﻠﮐ,ﺥﺭﭼ,ﺭﮔﻭﻟ,0503042
9,3,6,ﻪﺑﺁ ﻡﺭﮔ,ﯽﺧﺭﭼ ﺏﻭﻘﻌﻳ ﺎﻧﻻﻭﻣ ﺏﺗﮑﻣ,ﺥﺭﭼ,ﺭﮔﻭﻟ,0503043
7,4,3,ﺭﻭﮕﻧﺍ ﻪﺟﺍﻭﺧ ﻪﻳﺭﻗ,ﺭﻭﮕﻧﺍ ﻪﺟﺍﻭﺧ ﺏﺗﮑﻣ,ﺭﺍﻭﺭﺧ,ﺭﮔﻭﻟ,0506068
2,1,1,ﺭﺍﺯﺎﺑ ﯽﻧﻣ ﻪﻳﺭﻗ,ﻥﺎﺧ ﻪﭘﺍ ﺏﺗﮑﻣ,ﺭﺍﻭﺭﺧ,ﺭﮔﻭﻟ,0506069
3,1,2,ﻝﻳﺧ ﻯﺩﮔ,ﻰﮕﺗﻭﮐ ﺏﺗﮑﻣ,ﺭﺍﻭﺭﺧ,ﺭﮔﻭﻟ,0506071
5,2,3,ﻥﺍﺭﺎﺑ ﮓﻧﺳ ﻪﻳﺭﻗ,ﻥﺍﺭﺎﺑ ﮓﻧﺳ ﺏﺗﮑﻣ,ﻩﺭﺫﺍ,ﺭﮔﻭﻟ,0507077
5,2,3,ﻥﺎﺧ ﻰﺳﻭﻣ ﻪﻳﺭﻗ,ﻥﺎﺧ ﯽﺳﻭﻣ ﺏﺗﮑﻣ,ﻩﺭﺫﺍ,ﺭﮔﻭﻟ,0507078
5,2,3,ﻝﻳﺧ ﻯﺯﺍﺭ,ﻝﻳﺧ ﻯﺯﺍﺭ ﻪﻁﺳﻭﺗﻣ ﺏﺗﮑﻣ,ﻩﺭﺫﺍ,ﺭﮔﻭﻟ,0507079
3,0,3,ﻰﻠﮐ ﻭיﺍډ,ﺕﺎﻣﻭﺟ ﻭﻧﺎﻳﺟﺎﺣ ﻭיﺍډ,ﺭﺎﻫﺭﭘﭼ,ﺭﺎﻫﺭﮕﻧﻧ,0604103
2,2,0,ﻰﻠﮐ ﻭיﺍډ,ﺕﺎﻣﻭﺟ ﻲﻠﮐ ﻱﻭﻟ ﻭיﺍډ,ﺭﺎﻫﺭﭘﭼ,ﺭﺎﻫﺭﮕﻧﻧ,0604104
2,0,2,ﻲﻠﮐﺯﻳﺭﺎﮐ,ﺕﺎﻣﻭﺟ ﻲﻣﺎﺟ ﺯﻳﺭﺎﮐ,ﺭﺎﻫﺭﭘﭼ,ﺭﺎﻫﺭﮕﻧﻧ,0604106
2,2,0,ﻲﻠﮐﺯﻳﺭﺎﮐ,ﺕﺎﻣﻭﺟ ﻲﻠﮐﺩ ﺯﻳﺭﺎﮐ,ﺭﺎﻫﺭﭘﭼ,ﺭﺎﻫﺭﮕﻧﻧ,0604107
3,1,2,ﻲﻠﮐﻭؕﺎﻣ,ﻪﺳﻳﻟ ﻭؕﺎﻣ,ﺭﺎﻫﺭﭘﭼ,ﺭﺎﻫﺭﮕﻧﻧ,0604110
2,0,2,ﻥﺎﻅﻓﺎﺣ,ﺏﺗﮑﻣ ﯽﻠﮐ ﻭﻧﺎﻅﻓﺎﺣ,ﺭﺎﻫﺭﭘﭼ,ﺭﺎﻫﺭﮕﻧﻧ,0604117
2,2,0,ﻥﺎﻅﻓﺎﺣ,ﻩﺭﻳﺩ ﻥﻣﺣﺭﻟﺍﺩﺑﻋ,ﺭﺎﻫﺭﭘﭼ,ﺭﺎﻫﺭﮕﻧﻧ,0604118
2,0,2, ﻥﺍﺩﻳﻣ ﺯﻭﮐ,ﺕﺎﻣﻭﺟ ﻕﻭﺭﺎﻓ ﺭﻣﻋ ﺕﺭﺿﺣ,ﻪﻣﺎﮐ,ﺭﺎﻫﺭﮕﻧﻧ,0605180
2,2,0,ﻱﺭי ﻭړﺑ,ﺏﺗﮑﻣ ﻭﮑﻧﻳﺟ ﺩ ﻭړﺑ,ﺕﺍﺩﻭﺭ,ﺭﺎﻫﺭﮕﻧﻧ,0607140
3,0,3,ﯽﻠﮐ ﻝﻳﺧ ﺩﻣﺣﺍ ﺭﻳﺯﻭ,ﻪﺳﻳﻟ ﺭﻭﮐﺫ ﻱﺩﺎﻬﺟ,ﻲؕﺎﻳיﻭﺧ,ﺭﺎﻫﺭﮕﻧﻧ,0608276
3,3,0,ﯽﻠﮐ ﻝﻳﺧ ﺩﻣﺣﺍ ﺭﻳﺯﻭ,ﻪﺳﻳﻟ ﺙﺎﻧﺍ ﻱﺩﺎﻬﺟ,ﻲؕﺎﻳיﻭﺧ,ﺭﺎﻫﺭﮕﻧﻧ,0608277
2,1,1,ﻝﻳﺧ ﻩﺭﻳﭘ,ﻪﺳﺭﺩﻣ ﻭﮑﺑﺍ,ﻲؕﺎﻳיﻭﺧ,ﺭﺎﻫﺭﮕﻧﻧ,0608279
3,1,2,ﯽﻧﺎךﻧﺳ,ﺏﺗﮑﻣ ﻪﻳﺋﺍﺩﺗﺑﺍ ﯽﻧﺎךﻧﺳ,ﻲؕﺎﻳיﻭﺧ,ﺭﺎﻫﺭﮕﻧﻧ,0608281
2,2,0,ﺭﺎﻬﺑ ﺭﺑ,ﺏﺗﮑﻣ ﻪﺳﻳﻟ ﺭﺎﻬﺑ ﺭﺑ,ﻲؕﺎﻳיﻭﺧ,ﺭﺎﻫﺭﮕﻧﻧ,0608285
