 ﺕﻼﺣﻣ ﻉﻭﻣﺟﻣ ,ﻪﻧﺎﻧﺯ ﺕﻼﺣﻣ   ,  ﻪﻧﺍﺩﺭﻣ ﺕﻼﺣﻣ  ,ﯽﻫﺩﻳﺍﺭ ﺯﮐﺭﻣ ﺕﻌﻳﻗﻭﻣ,ﯽﻫﺩﻳﺍﺭ ﺯﮐﺭﻣ ﻡﺎﻧ,ﻲﻟﺍﻭﺳﻟﻭ,ﺕﻳﻻﻭ,  ﯽﻫﺩﻳﺍﺭ ﺯﮐﺭﻣ ﺩﻭﮐ 
2,1,1,ﺭﻳﮔﻭ,ﺭﻳﮔﻭ ﻥﺎﻣﺯ ﺏﺣﺎﺻ ﺩﺟﺳﻣ,ﺏﺍﺯﻳﮔ,یﺩﻧﮑﻳﺍﺩ,2403109
4,1,3,ﯽﻠﮐ ﻥﻳיﺭﻭי,ﻥﻼﮐ ﻪﻌﻠﻗ ﺏﺗﮑﻣ,ﺱﺎﺳﺣ ﺩﻳﻬﺷ,ﻥﺎﮔﺯﺭﺍ,2504035
4,1,3,ﺩﺟﺳﻣ ﺭﻔﻌﺟ, ﻥﺎﺧ ﷲﺩﺑﻋ ﯽﺟﺎﺣ یﺯﺭﻳﺷ ﺩﺟﺳﻣ,یﻭﺟ ﻩﺎﺷ,ﻝﺑﺍﺯ,2606015
3,1,2,ﯽﻠﮐ ﻪﻏﺍﺭﻭﺗ,ﻪﺳﺭﺩﻣ,ﺭﻐﺗﺍ,ﻝﺑﺍﺯ,2608073
2,1,1,ﻙﻟﻻ,טﻧոﺭﺗ ﺭﻭﻛ ﷲ ﺕﻣﺣﺭ ﺩ,ﺯﻳﺭ کﺎﺧ,ﺭﺎﻫﺩﻧﮐ,2707116
2,0,2,ﻡﻻ,یﺩږﻧ ﻪﺗ ﺭﻭﻛ ﻩﺎﺷ ﺩﻣﺣﻣ ﻙﻠﻣ ﺩ,ﺯﻳﺭ کﺎﺧ,ﺭﺎﻫﺩﻧﮐ,2707119
2,1,1, ﻪﺑﺗ ﺵﻭﻗ,ﻕﻭﺩﻗ ﻥﻣﮐﺭﺗ ﺏﺗﮑﻣ,ﻪﭘﻳﺗ ﺵﻭﻗ,ﻥﺎﺟﺯﻭﺟ,2805092
2,1,1, ﻪﺑﺗ ﺵﻭﻗ,ﯽﻠﻏﺍﺭﺗ ﺏﺗﮑﻣ,ﻪﭘﻳﺗ ﺵﻭﻗ,ﻥﺎﺟﺯﻭﺟ,2805094
3,1,2,ﻕﻭﺩﻗﺭﻭﺷ,ﺏﺗﮑﻣ,ﻪﭘﻳﺗ ﺵﻭﻗ,ﻥﺎﺟﺯﻭﺟ,2805124
2,0,2,ﯽﺳﻭﻣﺎﻧ ﻪﺟﺍﻭﺧ,ﯽﺳﻭﻣﺎﻧ ﻪﺟﺍﻭﺧﺭﻭﮐﺫ ﺏﺗﮑﻣ,ﺕﻭﮐ ﻥﻭﺗﺷﭘ,ﺏﺎﻳﺭﺎﻓ,2902018
3,3,0,ﯽﺳﻭﻣﺎﻧ ﻪﺟﺍﻭﺧ,ﯽﺳﻭﻣﺎﻧ ﻪﺟﺍﻭﺧ ﺙﺎﻧﺍ ﺏﺗﮑﻣ,ﺕﻭﮐ ﻥﻭﺗﺷﭘ,ﺏﺎﻳﺭﺎﻓ,2902023
2,1,1,ﺩﺍﺭﻣ ﻪﺟﺍﻭﺧ ﯽﻫﺭ,ﺩﺍﺭﻣ ﻪﺟﺍﻭﺧ ﯽﻫﺭ ﺩﺟﺳﻣ ,ﺕﻭﮐ ﻥﻭﺗﺷﭘ,ﺏﺎﻳﺭﺎﻓ,2902047
2,1,1,ﻻﺎﺑ ﺭﻭﺧ ﺍﻭﻠﺣ,ﻻﺎﺑ ﺭﻭﺧ ﺍﻭﻠﺣ ﺩﺟﺳﻣ ,ﺕﻭﮐ ﻥﻭﺗﺷﭘ,ﺏﺎﻳﺭﺎﻓ,2902048
2,1,1,ﻑﺎﺑ ﻡﻳﻠﮔ ﻩﺭﺩﻧﻫﺩ,ﻑﺎﺑ ﻡﻳﻠﮔ ﻩﺭﺩﻧﻫﺩ ﺩﺟﺳﻣ,ﺕﻭﮐ ﻥﻭﺗﺷﭘ,ﺏﺎﻳﺭﺎﻓ,2902200
2,1,1, ﯽﻠﻳﻭﻏ ﻩﺭﻗ ﻪﻳﺭﻗ, ﯽﻠﻳﻭﻏ ﻩﺭﻗ ﻊﻣﺎﺟ ﺩﺟﺳﻣ,ﺭﺎﻣﻟﺍ,ﺏﺎﻳﺭﺎﻓ,2904064
2,1,1,ﯽﺳﻏﺩﺎﺑ, ﯽﺳﻏﺩﺎﺑ ﻊﻣﺎﺟ ﺩﺟﺳﻣ,ﺭﺎﻣﻟﺍ,ﺏﺎﻳﺭﺎﻓ,2904068
3,1,2, یﺩﺎﺷ ﺭﻳﻣ, یﺩﺎﺷ ﺭﻳﻣ ﻪﻳﺋﺍﺩﺗﺑﺍ ﺏﺗﮑﻣ,ﺭﺎﻣﻟﺍ,ﺏﺎﻳﺭﺎﻓ,2904072
2,1,1,ﻝﻭﻘﻗﺭﻗ ﻪﻳﺭﻗ,ﻥﺎﺟﺭﻭﺗ ﺩﺟﺳﻣ ﻝﻭﻘﻗﺭﻗ,ﺭﺎﻣﻟﺍ,ﺏﺎﻳﺭﺎﻓ,2904078
4,2,2, ﻪﻌﻠﻗ ﻩﺭﺍﺯﻫ,یﺯﮕﻠﻬﭼ ﻪﻌﻠﻗ ﻩﺭﺍﺯﻫ ﺭﻭﮐﺫ ﻪﻳﺋﺍﺩﺗﺑﺍ ﺏﺗﮑﻣ, ﺭﺎﺻﻳﻗ,ﺏﺎﻳﺭﺎﻓ,2907081
2,1,1,یﺯﮔ ﻝﻬﭼ,ﻭﺗﺎﻣ ﺩﺟﺳﻣ, ﺭﺎﺻﻳﻗ,ﺏﺎﻳﺭﺎﻓ,2907085
4,2,2,ﺥﺎﺷ ﻪﻧﻬﮐ ﺭﺍﺯﺎﺑ,ﺥﺎﺷ ﻊﻣﺎﺟ ﺩﺟﺳﻣ, ﺭﺎﺻﻳﻗ,ﺏﺎﻳﺭﺎﻓ,2907086
2,1,1, ﻍﺎﺑ ﻪﮑﻳ,ﻍﺎﺑ ﻪﮑﻳ ﺏﺗﮑﻣ, ﺭﺎﺻﻳﻗ,ﺏﺎﻳﺭﺎﻓ,2907089
3,1,2,ﮏﻳﻟ ﺩﮕﻳﺟ ﻪﻳﺭﻗ,ﮏﻳﻟﺩﮕﻳﺟ ﻊﻣﺎﺟ ﺩﺟﺳﻣ, ﺭﺎﺻﻳﻗ,ﺏﺎﻳﺭﺎﻓ,2907091
2,1,1,یﺯﮕﻠﻬﭼ,ﺯﻳﺭﺎﮐ ﺩﺟﺳﻣ, ﺭﺎﺻﻳﻗ,ﺏﺎﻳﺭﺎﻓ,2907095
2,1,1, ﻪﻳﮑﺑﺯﺍ ﻪﺑﻧﺷ ﺭﺎﻬﭼ ﻪﻳﺭﻗ, ﻪﻳﮑﺑﺯﺍ ﻪﺑﻧﺷ ﺭﺎﻬﭼ ﺩﺟﺳﻣ, ﺭﺎﺻﻳﻗ,ﺏﺎﻳﺭﺎﻓ,2907096
2,1,1,ﺕﺧﺗ ﺭﺳ,ﺕﺧﺗ ﺭﺳ ﺩﺟﺳﻣ, ﺭﺎﺻﻳﻗ,ﺏﺎﻳﺭﺎﻓ,2907099
3,1,2,ﻩﺭﻭﻏ,ﻩﺭﻭﻏ ﺩﺟﺳﻣ, ﺭﺎﺻﻳﻗ,ﺏﺎﻳﺭﺎﻓ,2907107
3,1,2, ﺎﻫ یﺭﻭﺯ, ﺎﻫ یﺭﻭﺯ ﻪﻳﺋﺍﺩﺗﺑﺍ ﺕﮑﻣ, ﺭﺎﺻﻳﻗ,ﺏﺎﻳﺭﺎﻓ,2907110
4,1,3,یﺩﺭﻭﻠﭘ ﺕﺧﺗ,یﺩﺭﻭﻠﭘ ﺕﺧﺗ یﺍﺩﺗﺑﺍ ﺏﺗﮑﻣ,ﺩﺎﺑﺁ ﺕﻟﻭﺩ,ﺏﺎﻳﺭﺎﻓ,2909166
6,2,4,ﺎﺑﺎﺑ ﻪﺗﭘ ﻪﻳﺭﻗ,ﺎﺑﺎﺑ ﻪﺗﭘ,ﺩﺎﺑﺁ ﺕﻟﻭﺩ,ﺏﺎﻳﺭﺎﻓ,2909167
4,2,2,ﺭﭘﺷﺷ ﻪﻳﺭﻗ,ﺭﭘﺷﺷ,ﺩﺎﺑﺁ ﺕﻟﻭﺩ,ﺏﺎﻳﺭﺎﻓ,2909169
4,2,2,ﻥﺎﺗﺳﻫﻭﮐﺭﺩﻧﺑ,ﺭﺩﻧﺑ یﺍﺩﺗﺑﺍ ﺏﺗﮑﻣ,ﻥﺎﺗﺳﻫﻭﮐ,ﺏﺎﻳﺭﺎﻓ,2910112
2,1,1,ﻩﺭﺩﻧﻫﺩ,ﻩﺭﺩﻧﻫﺩ ﺏﺗﮑﻣ,ﻥﺎﺗﺳﻫﻭﮐ,ﺏﺎﻳﺭﺎﻓ,2910114
2,1,1,ﯽﻐﻠﻣ یﺍﺭﺣﺻ ﺕﺷﺩ,ﯽﻐﻠﻣ یﺍﺭﺣﺻ ﺕﺷﺩ ﺩﺟﺳﻣ,ﻥﺎﺗﺳﻫﻭﮐ,ﺏﺎﻳﺭﺎﻓ,2910116
4,2,2,ﻥﺯﺭﻭﮔ,ﻥﺯﺭﻭﮔ ﺩﺟﺳﻣ,ﻥﺎﺗﺳﻫﻭﮐ,ﺏﺎﻳﺭﺎﻓ,2910119
3,1,2, ﺯﻳﺭﺎﮐ ﺏﺗﮑﻣ, ﺯﻳﺭﺎﮐ ﺏﺗﮑﻣ,ﺱﺩﺎﻗ,ﺱﻳﻏﺩﺎﺑ,3104071
2,1,1, ﻻﺎﺑ ﺏﺍﺭﻭﺷ,ﻻﺎﺑ ﺏﺁﺭﻭﺷ ﻪﻳﺭﻗ ﺩﺟﺳﻣ,ﺱﺩﺎﻗ,ﺱﻳﻏﺩﺎﺑ,3104072
2,1,1,کﺩﺭﺯ ﯽﻟﻭﻗ,کﺩﺭﺯ ﯽﻟﻭﻗ,ﺱﺩﺎﻗ,ﺱﻳﻏﺩﺎﺑ,3104086
5,2,3,ﻥﻳﻳﺎﭘ ﻪﻠﺣﻣ ,ﻥﻳﻳﺎﭘ ﻪﻠﺣﻣ ﺏﺗﮑﻣ,ﺏﺎﻏﺭﻣ ﻻﺎﺑ,ﺱﻳﻏﺩﺎﺑ,3105168
2,1,1,کﻭﺍﺭﻳﻣ ﮏﻳ ,کﻭﺍﺭﻳﻣ ﮏﻳ ﺩﺟﺳﻣ,ﺩﻧﻭﺟ,ﺱﻳﻏﺩﺎﺑ,3106115
2,1,1,یﺎﺑ ﻝﻻ ﻪﺟﻭﮐ ﻪﻳﺭﻗ,ﺩﺍﺩﻻﻭﻣ ﺩﺟﺳﻣ,ﺩﻧﻭﺟ,ﺱﻳﻏﺩﺎﺑ,3106116
2,1,1,ﺩﻳﺑ ﻥﻣﭼ ,ﺩﻳﺑ ﻥﻣﭼ ﻪﻳﺭﻗ ﺩﺟﺳﻣ,ﺩﻧﻭﺟ,ﺱﻳﻏﺩﺎﺑ,3106119
2,1,1,ﯽﺳﻳﺧ ﻥﻫﺩ ﻪﻳﺭﻗ,ﯽﺳﻳﺧ ﻥﻫﺩ ﻪﻳﺭﻗ ﺩﺟﺳﻣ,ﺩﻧﻭﺟ,ﺱﻳﻏﺩﺎﺑ,3106120
2,1,1,ﮏﺑﻳﺳ ﻪﻳﺭﻗ,ﮏﺑﻳﺳ ﻪﻳﺭﻗ ﺩﺟﺳﻣ,ﺩﻧﻭﺟ,ﺱﻳﻏﺩﺎﺑ,3106121
3,2,1,ﻭﺗﻳﭘ ,ﻭﺗﻳﭘ ﻪﻳﺭﻗ ﺩﺟﺳﻣ,ﺩﻧﻭﺟ,ﺱﻳﻏﺩﺎﺑ,3106122
4,2,2,ﻝﺑﻠﺑ ﻩﺎﭼ ﻪﻳﺭﻗ,ﻝﺑﻠﺑ ﻩﺎﭼ یﺎﻫ ﯽﭼﻭﮐ ﺕﻳﻌﻗﻭﻣ,ﻩﺭﺫﮔ,ﺕﺍﺭﻫ,3203116
3,1,2,ﻩﺭﻬﭘ,ﻩﺭﻬﭘ ﺏﺗﮑﻣ, ﻥﺎﺟ ﻩﺩﻧﺯ,ﺕﺍﺭﻫ,3205269
2,1,1,ﻩﺩﭘ ﺯﻳﺭﺎﮐ ﻪﻳﺭﻗ,ﻩﺩﭘ ﺯﻳﺭﺎﮐ ﮏﻳﻧﻳﻠﮐ, ﻥﺎﺟ ﻩﺩﻧﺯ,ﺕﺍﺭﻫ,3205457
3,1,2,ﻩﺩﻳﻗﺭﺗ ﮓﻧﺳ,ﯽﮕﻧﻫﺭﻓ ﻊﻣﺗﺟﻣ, ﻥﺎﺟ ﻩﺩﻧﺯ,ﺕﺍﺭﻫ,3205477
5,2,3,ﯽﻧﺎﻳﮔﻭﺎﺧ ﻥﺍﺭﻠﮔ ,ﯽﻧﺎﻳﮔﻭﺎﺧ ﻥﺍﺭﻠﮔ ﮏﻳﻧﻳﻠﮐ, ﻥﺍﺭﻠﮔ,ﺕﺍﺭﻫ,3208198
3,1,2,ﺏﺍﺭﻬﻧ ,ﺏﺍﺭﻬﻧ ﺩﺟﺳﻣ, ﻥﺍﺭﻠﮔ,ﺕﺍﺭﻫ,3208199
3,1,2,کﺭﻣﮐ ﻩﺎﻳﺳ ,کﺭﻣﮐ ﻩﺎﻳﺳ ﻪﻳﺋﺍﺩﺗﺑﺍ ﺏﺗﮑﻣ, ﻥﺍﺭﻠﮔ,ﺕﺍﺭﻫ,3208202
3,1,2,ﯽﻧﺎﺳﻬﮐ ﻩﺎﭼ,ﯽﻧﺎﺳﻬﮐ ﻩﺎﭼ ﺩﺟﺳﻣ, ﻥﺍﺭﻠﮔ,ﺕﺍﺭﻫ,3208209
5,3,2,ﯽﭼﻳﺗﻭﺗ,ﯽﭼﻳﺗﻭﺗ ﯽﻳﺍﺩﺗﺑﺍ ﺏﺗﮑﻣ, ﻥﺍﺭﻠﮔ,ﺕﺍﺭﻫ,3208210
3,1,2,ﺕﺳﻣ ﺵﻳﻣ ,ﺕﺳﻣ ﺵﻳﻣ ﺏﺗﻛﻣ, ﻥﺍﺭﻠﮔ,ﺕﺍﺭﻫ,3208217
2,1,1,ﺏﺁ ﮓﻳﺭ ﻪﻳﺭﻗ ,ﺏﺁ ﮓﻳﺭ ﺩﺟﺳﻣ, ﻥﺍﺭﻠﮔ,ﺕﺍﺭﻫ,3208224
3,1,2,ﺩﻳﻔﺳ ﺏﺁ ﻪﻳﺭﻗ ,ﺩﻳﻔﺳ ﺏﺁ ﺩﺟﺳﻣ, ﻥﺍﺭﻠﮔ,ﺕﺍﺭﻫ,3208225
2,1,1,ﺩﺭﮔ ﺭﻳﺗ ﻪﻳﺭﻗ,ﺩﺭﮔ ﺭﻳﺗ ﯽﻳﺍﺩﺗﺑﺍ ﺏﺗﮑﻣ, ﻥﮑﺳﺭﺩﺍ,ﺕﺍﺭﻫ,3209280
2,1,1,ﺏﺎﺧﺗ ,ﺏﺎﺧﺗ ﺩﺟﺳﻣ, ﻥﮑﺳﺭﺩﺍ,ﺕﺍﺭﻫ,3209288
2,1,1,ﻩﺭﻭﻧﺗ ,ﻩﺭﻭﻧﺗ ﺩﺟﺳﻣ, ﻥﮑﺳﺭﺩﺍ,ﺕﺍﺭﻫ,3209293
2,1,1, ﮏﺧﺭﺳ ﻩﺎﭼ,ﮏﺧﺭﺳ ﻩﺎﭼ ﺩﺟﺳﻣ, ﻥﮑﺳﺭﺩﺍ,ﺕﺍﺭﻫ,3209294
2,1,1, یﺭﺗﻔﮐ,یﺭﺗﻔﮐ ﺩﺟﺳﻣ, ﻥﮑﺳﺭﺩﺍ,ﺕﺍﺭﻫ,3209463
3,1,2,ﻪﺗﺷﻛ ﻡﻼﻏ ,ﻪﺗﺷﻛ ﻡﻼﻏ ﺩﺟﺳﻣ, ﻥﮑﺳﺭﺩﺍ,ﺕﺍﺭﻫ,3209482
2,1,1, ﮏﻳ ﯽﻧ,ﻙﻳ ﻲﻧ ﻪﻣﻳﺧ, ﻥﺎﺳﻬﮐ,ﺕﺍﺭﻫ,3213449
2,1,1, ﻪﮑﻳﻠﻋ ﻩﺩ, ﻪﮑﻳﻠﻋ  ﻩﺩ ﺩﺟﺳﻣ,ﺩﻧﺩﻧﻳﺷ,ﺕﺍﺭﻫ,3214320
4,2,2, ﻝﻭﺍ ﺩﺎﺑﺁ ﺭﻬﺷ,ﺩﺎﺑﺁﺭﻬﺷ ﺏﺗﮑﻣ,ﺩﻧﺩﻧﻳﺷ,ﺕﺍﺭﻫ,3214332
3,1,2, ﻡﻭﺳ ﺩﺎﺑﺁﺭﻬﺷ,ﺩﺎﺑﺁ ﺕﺧﺑ ﺩﺟﺳﻣ,ﺩﻧﺩﻧﻳﺷ,ﺕﺍﺭﻫ,3214334
2,1,1, ﻡﻭﺩ ﻪﻌﻠﻗ ﺭﺎﻬﭼ,ﻡﻭﺩ ﻪﻌﻠﻗ ﺭﺎﻬﭼ ﮏﻳﻧﻳﻠﮐ,ﺩﻧﺩﻧﻳﺷ,ﺕﺍﺭﻫ,3214336
2,1,1, ﻥﺎﺗﺳﮕﻧﺳ,ﻥﺎﺗﺳﮕﻧﺳ ﺏﺗﻛﻣ,ﺩﻧﺩﻧﻳﺷ,ﺕﺍﺭﻫ,3214464
2,1,1, ﮏﺷﮐ,ﻙﺷﻛ ﺩﺟﺳﻣ,ﺩﻧﺩﻧﻳﺷ,ﺕﺍﺭﻫ,3214466
2,1,1, ﻝﻳﺧ ﻑﻭﺭﻌﻣ,ﻝﻳﺧ ﻑﻭﺭﻌﻣ ﺩﺟﺳﻣ,ﺩﻧﺩﻧﻳﺷ,ﺕﺍﺭﻫ,3214467
4,2,2,ﻖﻟﺎﻣﺭﻭﺧ, ﻖﻟﺎﻣﺭﺧ ﺏﺗﮑﻣ,ﻩﺍﺭﻓ,ﻩﺍﺭﻓ ,3301017
2,1,1, ( ﯽﭼﻭﮐ )  ﻝﺍﺩﺑ ﺯﻳﺭﺎﮐ,ﻝﺍﺩﺑﺯﻳﺭﺎﮐ,ﺩﻭﺭ ﺕﺷﭘ,ﻩﺍﺭﻓ ,3302048
2,1,1,کﺯﻳﺭﺎﮐ, کﺯﻳﺭﺎﮐ ﺩﺟﺳﻣ, ﻩﺎﮐ ﻪﻌﻠﻗ,ﻩﺍﺭﻓ ,3304084
2,1,1,ﯽﻫﺩﭘ,ﯽﻫﺩﭘ ﺩﺟﺳﻣ, ﻩﺭﺩ ﺭﺎﻧﺍ,ﻩﺍﺭﻓ ,3307069
2,1,1,ﯽﺗﺭﻻ,ﯽﺗﺭﻻ ﺩﺟﺳﻣ,ﻥﺎﺗﺳﻠﮔ,ﻩﺍﺭﻓ ,3310167
2,1,1,ﻪﻧﻣﺍﺩ,ﻪﻧﻣﺍﺩ ﺩﺟﺳﻣ ,ﻥﻣﭼﺭﭘ,ﻩﺍﺭﻓ ,3311200
2,1,1,ﺕﺷﻭﻟﺎﮐ,ﺕﺷﻭﻟﺎﮐ ﺩﺟﺳﻣ,ﻥﻣﭼﺭﭘ,ﻩﺍﺭﻓ ,3311216
2,1,1, ﯽﮔ ﻩﺯﻭﭘ, ﯽﮔ ﻩﺯﻭﭘ,ﻡﺍﺭﻻﺩ,ﺯﻭﺭﻣﻳﻧ,3406056
2,1,1, ﺩﺎﺑﺁ ﺭﮕﻧﺩ, ﺩﺎﺑﺁ ﺭﮕﻧﺩ,ﻡﺍﺭﻻﺩ,ﺯﻭﺭﻣﻳﻧ,3406057
